CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_rvmoreno_WORK,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,Notes
'116,HUNT COUNTY,'10,'116903,COMMERCE ISD,INDEPENDENT,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3315 WASHINGTON ST,COMMERCE,TX,75428.0,(903) 886-3755,(903) 886-6025,Blake.Cooper@commerceisd.org,www.commerceisd.org,MR BLAKE WESLEY COOPER   ,1554,'116903043,COMMERCE MIDDLE,REGULAR INSTRUCTIONAL,,3315 WASHINGTON ST,COMMERCE,TX,75428.0,606 CULVER ST,COMMERCE,TX,75428.0,(903) 886-3795,(903) 886-6102,Patrick.Just@commerceisd.org,schools.commerceisd.org/default.aspx?name=03.homepage,MR PATRICK JUST   ,'06-08,333,Active, ,2015-03-14T05:35:17,11,USCGeocoder,1,0,ffd48daf-86ef-4863-8f43-6a3e8d6a0fa7,4.01,,33.2360165681,-95.890098506,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100.0,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1756.5052739,Meters,3,StreetSegmentInterpolation,
'116,HUNT COUNTY,'10,'116903,COMMERCE ISD,INDEPENDENT,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3315 WASHINGTON ST,COMMERCE,TX,75428.0,(903) 886-3755,(903) 886-6025,Blake.Cooper@commerceisd.org,www.commerceisd.org,MR BLAKE WESLEY COOPER   ,1554,'116903101,COMMERCE EL,REGULAR INSTRUCTIONAL,,3315 WASHINGTON ST,COMMERCE,TX,75428.0,2900 FM 3218,COMMERCE,TX,75428-1251,(903) 886-3757,(903) 886-6112,Jeanne.Lay@commerceisd.org,schools.commerceisd.org/default.aspx?name=01.homepage,MRS JEANNE LAY   ,'EE-02,452,Active, ,2015-03-14T05:35:17,12,USCGeocoder,1,63,6ac43ec6-2829-4f7a-b3c1-8890af5950ba,4.01,,33.2310328414,-95.8903540531,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,92.0118343195,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1460.9431043,Meters,3,StreetSegmentInterpolation,
'116,HUNT COUNTY,'10,'116903,COMMERCE ISD,INDEPENDENT,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3315 WASHINGTON ST,COMMERCE,TX,75428.0,(903) 886-3755,(903) 886-6025,Blake.Cooper@commerceisd.org,www.commerceisd.org,MR BLAKE WESLEY COOPER   ,1554,'116903104,ALBERT C WILLIAMS EL,REGULAR INSTRUCTIONAL,,3315 WASHINGTON ST,COMMERCE,TX,75428.0,615 CULVER,COMMERCE,TX,75428-1251,(903) 886-3758,(903) 886-6228,Deanna.Hays@commerceisd.org,schools.commerceisd.org/default.aspx?name=02.homepage,MS DEANNA HAYS   ,'03-05,332,Active, ,2015-03-14T05:35:17,13,USCGeocoder,1,16,57c9a522-8b28-45eb-8b0d-dff66594c632,4.01,,33.2354707304,-95.8843150208,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,97.0414201183,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3749.61092279,Meters,3,StreetSegmentInterpolation,
'116,HUNT COUNTY,'10,'116903,COMMERCE ISD,INDEPENDENT,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3315 WASHINGTON ST,COMMERCE,TX,75428.0,(903) 886-3755,(903) 886-6025,Blake.Cooper@commerceisd.org,www.commerceisd.org,MR BLAKE WESLEY COOPER   ,1554,'116903105,SUMMITT HOUSE,ALTERNATIVE INSTRUCTIONAL,,3315 WASHINGTON ST,COMMERCE,TX,75428.0,3315 WASHINGTON ST,COMMERCE,TX,75428.0,(903) 886-3764,(903) 886-7634,Randy.Shannon@commerceisd.org,,    ,'KG-12,0,Active,35005.0,2015-03-14T05:35:17,14,USCGeocoder,1,31,798f6d91-f23d-4eee-8ee0-e078c44e797b,4.01,,33.228086,-95.900411,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905001,NEW HORIZONS LEARNING CENTER,ALTERNATIVE INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,3923 HENRY ST,GREENVILLE,TX,75401.0,(903) 457-2688,(903) 457-2689,gregoryc@greenvilleisd.com,www.greenvilleisd.com,MR CHIP GREGORY   ,'EE 09-12,89,Active,31563.0,2015-03-14T05:35:17,15,USCGeocoder,1,31,86a41098-998e-4be7-8bda-9cae11d6808a,4.01,,33.1415088928,-96.1210064807,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,13538.7001735,Meters,2,Parcel,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905002,GREENVILLE H S,REGULAR INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403.0,3515 LION'S LAIR,GREENVILLE,TX,75402.0,(903) 457-2550,(903) 455-5158,jarvish@greenvilleisd.com,www.greenvilleisd.com,MR HEATH JARVIS   ,'09-12,1077,Active,31563.0,2015-03-14T05:35:17,16,USCGeocoder,1,16,4555a924-61c8-4b04-a1b7-40220085bd7d,4.01,,33.1039065605,-96.1211452802,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,350330.306764,Meters,2,Parcel,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905003,HUNT COUNTY JUVENILE DETENTION CTR,ALTERNATIVE INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,2507 LEE ST,GREENVILLE,TX,75401.0,(903) 454-8882,(903) 457-2689,gregoryc@greenvilleisd.com,,MR CHIP GREGORY   ,'04-12,24,Active,34480.0,2015-03-14T05:35:17,17,USCGeocoder,1,16,70553685-5f01-485c-9992-6dcd59161094,4.01,,33.1397152234,-96.107187025,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100.0,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1967.564985,Meters,3,StreetSegmentInterpolation,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905004,GREENVILLE ALTERNATIVE EDUCATIONAL PROGRAM,DAEP INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403.0,3923 HENRY ST,GREENVILLE,TX,75401.0,(903) 457-2619,(903) 457-2689,gregoryc@greenvilleisd.com,www.greenvilleisd.com,MR CHIP GREGORY   ,'KG-12,13,Active,34911.0,2015-03-14T05:35:17,18,USCGeocoder,1,0,6413ba72-7ff0-41cb-ab67-6859ac9c5689,4.01,,33.1415088928,-96.1210064807,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,13538.7001735,Meters,2,Parcel,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905005,GLEN OAKS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,301 E DIVISION,GREENVILLE,TX,75401.0,(903) 454-8882,(903) 457-2689,gregoryc@greenvilleisd.com,,MR CHIP GREGORY   ,'KG-12,9,Active,37790.0,2015-03-14T05:35:17,19,USCGeocoder,1,31,14da4128-5840-4e6e-8f09-fa19c34bfa82,4.01,,33.1231146817,-96.0821024105,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,89.349112426,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,59967.9079605,Meters,2,Parcel,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905041,GREENVILLE MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,3611 TEXAS,GREENVILLE,TX,75401-5046,(903) 457-2620,(903) 457-2628,gishd@greenvilleisd.com,www.greenvilleisd.com,MR DAVID GISH   ,'06-08,687,Active,30537.0,2015-03-14T05:35:17,20,USCGeocoder,1,47,80e215d0-e08a-464b-9330-6f18abe57759,4.01,,33.131328531,-96.1194126603,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,97.0414201183,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2241.32455674,Meters,3,StreetSegmentInterpolation,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905102,BOWIE EL,REGULAR INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,6005 STONEWALL ST,GREENVILLE,TX,75402-6739,(903) 457-2676,(903) 457-0725,masond@greenvilleisd.com,www.greenvilleisd.com,MR DALE MASON   ,'KG-05,480,Active, ,2015-03-14T05:35:17,21,USCGeocoder,1,16,1ffb6eda-93bd-4609-90c6-f92e42882785,4.01,,33.1089407434,-96.1062861059,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,98.9940828402,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,32490.3044058,Meters,2,Parcel,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905103,CROCKETT EL,REGULAR INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,1316 WOLFE CITY DR,GREENVILLE,TX,75401-2173,(903) 457-2684,(903) 457-0722,orsborns@greenvilleisd.com,www.greenvilleisd.com,MRS SHANNON ORSBORN   ,'KG-05,378,Active, ,2015-03-14T05:35:17,22,USCGeocoder,1,31,1d3925ab-fdbc-43e1-99cf-45277c90e8e7,4.01,,33.1638909728,-96.0966528111,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,37471.1002538,Meters,2,Parcel,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905104,CARVER EL,REGULAR INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,2110 COLLEGE ST,GREENVILLE,TX,75401.0,(903) 457-0777,(903) 457-0786,rotherd@greenvilleisd.com,www.greenvilleisd.com,MRS DONNA ROTHER   ,'KG-05,473,Active, ,2015-03-14T05:35:17,23,USCGeocoder,1,16,d9fb4a8a-87d1-4f5a-b613-bddf644142cf,4.01,,33.1419247918,-96.1251225385,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100.0,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2304.62978146,Meters,3,StreetSegmentInterpolation,
'116,HUNT COUNTY,'10,'116905,GREENVILLE ISD,INDEPENDENT,P O BOX 1022,GREENVILLE,TX,75403-1022,4004 MOULTON,GREENVILLE,TX,75401-5103,(903) 457-2500,(903) 457-2504,supt-secretary@greenvilleisd.com,www.greenvilleisd.com,MR DONALD RAY JEFFERIES   ,4742,'116905106,LAMAR EL,REGULAR INSTRUCTIONAL,,P O BOX 1022,GREENVILLE,TX,75403-1022,6321 JACK FINNEY BLVD,GREENVILLE,TX,75401.0,(903) 457-0765,(903) 457-0774,tharpja@greenvilleisd.com,www.greenvilleisd.com,MR JASON THARP   ,'KG-05,594,Active, ,2015-03-14T05:35:17,24,USCGeocoder,1,47,0c150e69-1aae-4387-b85f-f3a1e74c2f13,4.01,,33.1066404,-96.0880334,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100.0,Manual,FeatureClassBased,,,0,,ReturnAll,,Meters,9,AddressZIPCentroid,
