CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_decomonteiro_output_11_am,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,,,,,,,
'106,HEMPHILL COUNTY,'16,'106901,CANADIAN ISD,INDEPENDENT,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,(806) 323-5393,(806) 323-8143,kyle.lynch@canadianisd.net,www.canadianisd.net,MR S KYLE LYNCH   ,1050,'106901103,CANADIAN EL,REGULAR INSTRUCTIONAL,,800 HILLSIDE AVE,CANADIAN,TX,79014-3233,500 DOGWOOD,CANADIAN,TX,79014-3233,(806) 323-9331,(806) 323-8143,kirk.saul@canadianisd.net,www.canadianisd.net,MR KIRK SAUL   ,'EE-02,336,Active,1984-03-01,3/14/2015 5:35:15 AM,11,USCGeocoder,1,31,a43cb613-5d76-481c-9782-77e37ae714cb,4.01,,35.901322,-100.386096,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107901,ATHENS ISD,INDEPENDENT,104 HAWN ST,ATHENS,TX,75751-2423,104 HAWN ST,ATHENS,TX,75751-2423,(903) 677-6903,(903) 677-6908,bstiles@athensisd.net,www.athensisd.net,STEPHEN BLAKE STILES   ,3297,'107901001,ATHENS H S,REGULAR INSTRUCTIONAL,,708 E COLLEGE ST,ATHENS,TX,75751-2687,708 E COLLEGE ST,ATHENS,TX,75751-2687,(903) 677-6920,(903) 677-6925,jivey@athensisd.net,www.athensisd.net,MRS JAMI IVEY   ,'09-12,969,Active, ,3/14/2015 5:35:15 AM,12,USCGeocoder,1,31,51c2e525-8b5b-4cc0-9f07-b41b4f9b7c57,4.01,,32.2028792368,-95.8462296678,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3505.37843148,Meters,3,StreetSegmentInterpolation,,,,,,,
'107,HENDERSON COUNTY,'07,'107901,ATHENS ISD,INDEPENDENT,104 HAWN ST,ATHENS,TX,75751-2423,104 HAWN ST,ATHENS,TX,75751-2423,(903) 677-6903,(903) 677-6908,bstiles@athensisd.net,www.athensisd.net,STEPHEN BLAKE STILES   ,3297,'107901041,ATHENS MIDDLE,REGULAR INSTRUCTIONAL,,6800 STATE HWY 19 S,ATHENS,TX,75751-8922,6800 STATE HWY 19 S,ATHENS,TX,75751-8922,(903) 677-3030,(903) 677-2111,wmccowan@athensisd.net,www.athensisd.net,WINSTON MCCOWAN   ,'06-08,694,Active, ,3/14/2015 5:35:15 AM,13,USCGeocoder,1,109,b15e3da3-11ac-437a-8b0d-3d3f391c0aeb,4.01,,32.15852,-95.83857,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107901,ATHENS ISD,INDEPENDENT,104 HAWN ST,ATHENS,TX,75751-2423,104 HAWN ST,ATHENS,TX,75751-2423,(903) 677-6903,(903) 677-6908,bstiles@athensisd.net,www.athensisd.net,STEPHEN BLAKE STILES   ,3297,'107901102,SOUTH ATHENS EL,REGULAR INSTRUCTIONAL,,718 ROBBINS RD,ATHENS,TX,75751-2928,718 ROBBINS RD,ATHENS,TX,75751-2928,(903) 677-6970,(903) 677-3470,kgarcie@athensisd.net,www.athensisd.net,KEYLE GARCIE   ,'EE-03,569,Active, ,3/14/2015 5:35:15 AM,14,USCGeocoder,1,31,894100ad-5e98-44c0-9ec1-48c20f484bef,4.01,,32.193373,-95.846144,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107901,ATHENS ISD,INDEPENDENT,104 HAWN ST,ATHENS,TX,75751-2423,104 HAWN ST,ATHENS,TX,75751-2423,(903) 677-6903,(903) 677-6908,bstiles@athensisd.net,www.athensisd.net,STEPHEN BLAKE STILES   ,3297,'107901103,ATHENS INT,REGULAR INSTRUCTIONAL,,307 MADOLE ST,ATHENS,TX,75751-2853,307 MADOLE ST,ATHENS,TX,75751-2853,(903) 677-6960,(903) 677-6987,gmorrison@athensisd.net,www.athensisd.net,MRS GINGER MORRISON   ,'04-05,473,Active,1987-08-09,3/14/2015 5:35:15 AM,15,USCGeocoder,1,31,a8d0b5fd-9d58-409e-b3c4-4b40ae81fb3d,4.01,,32.1996284539,-95.8482711693,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,8668.40405781,Meters,3,StreetSegmentInterpolation,,,,,,,
'107,HENDERSON COUNTY,'07,'107901,ATHENS ISD,INDEPENDENT,104 HAWN ST,ATHENS,TX,75751-2423,104 HAWN ST,ATHENS,TX,75751-2423,(903) 677-6903,(903) 677-6908,bstiles@athensisd.net,www.athensisd.net,STEPHEN BLAKE STILES   ,3297,'107901104,BEL AIR EL,REGULAR INSTRUCTIONAL,,215 WILLOWBROOK DR,ATHENS,TX,75751-3537,215 WILLOWBROOK DR,ATHENS,TX,75751-3537,(903) 677-6980,(903) 677-6986,rdennis@athensisd.net,www.athensisd.net,MRS ROSALIE DENNIS   ,'EE-03,592,Active, ,3/14/2015 5:35:15 AM,16,USCGeocoder,1,78,e8677875-82aa-4d79-8c5d-05c7a5abd591,4.01,,32.182088,-95.859683,Relaxed,,,,,,,ManuallyChangedByAndreM,,,,,,,,,,,,,,,,,
'107,HENDERSON COUNTY,'07,'107902,BROWNSBORO ISD,INDEPENDENT,P O BOX 465,BROWNSBORO,TX,75756-0465,HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-3701,(903) 852-3957,egoode@gobearsgo.net,www.gobearsgo.net,DR CHRIS MORAN   ,2662,'107902001,BROWNSBORO H S,REGULAR INSTRUCTIONAL,,P O BOX 465,BROWNSBORO,TX,75756-0465,14128 STATE HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-2321,(903) 852-5195,jonesb@gobearsgo.net,,MR BRANDON JONES   ,'09-12,800,Active, ,3/14/2015 5:35:15 AM,17,USCGeocoder,1,63,9941c9ca-1014-434a-963f-0e4a3b8d387a,4.01,,32.300474,-95.622732,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107902,BROWNSBORO ISD,INDEPENDENT,P O BOX 465,BROWNSBORO,TX,75756-0465,HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-3701,(903) 852-3957,egoode@gobearsgo.net,www.gobearsgo.net,DR CHRIS MORAN   ,2662,'107902041,BROWNSBORO J H,REGULAR INSTRUCTIONAL,,P O BOX 465,BROWNSBORO,TX,75756-0465,11233 INGRAM ST,BROWNSBORO,TX,75756-0465,(903) 852-6931,(903) 852-5238,robertsonb@gobearsgo.net,,MR BRADLEY ROBERTSON   ,'07-08,395,Active,1980-10-10,3/14/2015 5:35:15 AM,18,USCGeocoder,1,109,6f38f6f7-f6d1-49f3-8f17-40728f2e2c26,4.01,,32.300029,-95.619974,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107902,BROWNSBORO ISD,INDEPENDENT,P O BOX 465,BROWNSBORO,TX,75756-0465,HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-3701,(903) 852-3957,egoode@gobearsgo.net,www.gobearsgo.net,DR CHRIS MORAN   ,2662,'107902101,BROWNSBORO EL,REGULAR INSTRUCTIONAL,,P O BOX 465,BROWNSBORO,TX,75756-0465,12331 STATE HWY 31 E,BROWNSBORO,TX,75756-0465,(903) 852-6461,(903) 852-2718,Ralsonb@gobearsgo.net,,MRS TRACY NEILL   ,'EE-03,434,Active, ,3/14/2015 5:35:15 AM,19,USCGeocoder,1,78,c2f50d91-d6db-4101-a228-dd4b950dec36,4.01,,32.298741,-95.652445,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107902,BROWNSBORO ISD,INDEPENDENT,P O BOX 465,BROWNSBORO,TX,75756-0465,HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-3701,(903) 852-3957,egoode@gobearsgo.net,www.gobearsgo.net,DR CHRIS MORAN   ,2662,'107902102,CHANDLER INT,REGULAR INSTRUCTIONAL,,P O BOX 465,BROWNSBORO,TX,75756-0465,22250 BARRON RD,CHANDLER,TX,75758,(903) 849-6436 ext:701 ,(903) 849-3019,brownl@gobearsgo.net,,MS LISA BROWN   ,'04-06,278,Active,2001-07-11,3/14/2015 5:35:15 AM,20,USCGeocoder,1,31,9c2ab9b9-dc91-4bbe-9a32-b3f802dec059,4.01,,32.2893729638,-95.4822609154,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,94.0828402367,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1478.02020297,Meters,3,StreetSegmentInterpolation,,,,,,,
'107,HENDERSON COUNTY,'07,'107902,BROWNSBORO ISD,INDEPENDENT,P O BOX 465,BROWNSBORO,TX,75756-0465,HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-3701,(903) 852-3957,egoode@gobearsgo.net,www.gobearsgo.net,DR CHRIS MORAN   ,2662,'107902103,CHANDLER EL,REGULAR INSTRUCTIONAL,,P O BOX 99,CHANDLER,TX,75758-0099,615 N BROAD,CHANDLER,TX,75758-0099,(903) 849-3400,(903) 849-3628,limmers@gobearsgo.net,,MRS SUSAN LIMMER   ,'EE-03,450,Active, ,3/14/2015 5:35:15 AM,21,USCGeocoder,1,47,afa4f5b1-1328-4ea8-ac0d-d590b487eac6,4.01,,32.312718,-95.481323,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107902,BROWNSBORO ISD,INDEPENDENT,P O BOX 465,BROWNSBORO,TX,75756-0465,HWY 31 W,BROWNSBORO,TX,75756-0465,(903) 852-3701,(903) 852-3957,egoode@gobearsgo.net,www.gobearsgo.net,DR CHRIS MORAN   ,2662,'107902104,BROWNSBORO INT,REGULAR INSTRUCTIONAL,,P O BOX 465,BROWNSBORO,TX,75756-0465,13951 SAYLORS,BROWNSBORO,TX,75756-0465,(903) 852-7325,(903) 852-6745,mccallier@gobearsgo.net,,MRS LAURA BALLARD   ,'04-06,305,Active, ,3/14/2015 5:35:15 AM,22,USCGeocoder,1,47,ba890b0e-3f92-4f5e-affb-30722ea3c23e,4.01,,32.300474,-95.622732,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107904,CROSS ROADS ISD,INDEPENDENT,14434 FM 59,MALAKOFF,TX,75148-9801,14434 FM 59,MALAKOFF,TX,75148-9801,(903) 489-5931,(903) 489-2527,lhand@crossroadsisd.org,www.crossroadsisd.org,MR LELAND HAND   ,585,'107904001,CROSS ROADS H S,REGULAR INSTRUCTIONAL,,14434 HWY 59,MALAKOFF,TX,75148-9801,14434 HWY 59,MALAKOFF,TX,75148-9801,(903) 489-1275,(903) 489-0054,mlowe@crossroadsisd.org,,MR MACK LOWE   ,'09-12,183,Active, ,3/14/2015 5:35:15 AM,23,USCGeocoder,1,47,6a207170-5ec3-4072-b7f0-3e22d9a6dce3,4.01,,32.051407,-95.967315,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107904,CROSS ROADS ISD,INDEPENDENT,14434 FM 59,MALAKOFF,TX,75148-9801,14434 FM 59,MALAKOFF,TX,75148-9801,(903) 489-5931,(903) 489-2527,lhand@crossroadsisd.org,www.crossroadsisd.org,MR LELAND HAND   ,585,'107904041,CROSS ROADS J H,REGULAR INSTRUCTIONAL,,14434 HWY 59,MALAKOFF,TX,75148-9801,14434 HWY 59,MALAKOFF,TX,75148-9801,(903) 489-2667,(903) 489-3840,jwest@crossroadsisd.org,,MS JULIE WEST   ,'06-08,132,Active,07/15/1987,3/14/2015 5:35:15 AM,24,USCGeocoder,1,47,9621051e-80b7-4e25-adc8-d0ff9170d1ba,4.01,,32.051407,-95.967315,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
'107,HENDERSON COUNTY,'07,'107904,CROSS ROADS ISD,INDEPENDENT,14434 FM 59,MALAKOFF,TX,75148-9801,14434 FM 59,MALAKOFF,TX,75148-9801,(903) 489-5931,(903) 489-2527,lhand@crossroadsisd.org,www.crossroadsisd.org,MR LELAND HAND   ,585,'107904101,CROSS ROADS EL,REGULAR INSTRUCTIONAL,,14434 HWY 59,MALAKOFF,TX,75148-9801,14434 HWY 59,MALAKOFF,TX,75148-9801,(903) 489-1774,(903) 489-1843,csulak@crossroadsisd.org,,MRS CATHY SULAK   ,'EE-05,270,Active, ,3/14/2015 5:35:15 AM,25,USCGeocoder,1,31,0c964ec6-223b-4988-9c85-07486f936fe8,4.01,,32.051407,-95.967315,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,ManuallyChangedByAndreM,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid,,,,,,,
