CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_gb9259_output_09_gm,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902070,MARCELLA INT,REGULAR INSTRUCTIONAL,,16250 COTILLION DR,HOUSTON,TX,77060,16250 COTILLION DR,HOUSTON,TX,77060,(281) 878-0860,(281) 878-0805,kfsandoval@aldine.k12.tx.us,,KATHLEEN SANDOVAL   ,'05-06,835,Active,2007-09-27,2015-03-14T05:35:12,11,USCGeocoder,1,47,60a63177-0333-4ff8-b98f-7bde019b683a,4.01,,29.9349926988,-95.3976841522,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3568.00225729,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902071,MACARTHUR AREA INT,REGULAR INSTRUCTIONAL,,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 985-6216,(281) 985-7139,cmoore@aldine.k12.tx.us,,    ,'05-06,0,Under Construction,2008-02-13,2015-03-14T05:35:12,12,USCGeocoder,1,0,a9a43cdd-41c9-4b92-9a59-3774416925e4,4.01,,29.9340613354,-95.3536779724,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,86242.514328,Meters,2,Parcel
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902072,RAYFORD INT,REGULAR INSTRUCTIONAL,,21919 RAYFORD RD,HUMBLE,TX,77338-1095,21919 RAYFORD RD,HUMBLE,TX,77338-1095,(281) 233-8901,(281) 985-7139,rgraham@aldine.k12.tx.us,www.aldine.k12.tx.us,BRANDON CARROLL   ,'05-06,765,Active,2010-08-03,2015-03-14T05:35:12,13,USCGeocoder,1,47,6fec4768-3aeb-4234-b57b-e7ddbb9fa053,4.01,,30.02668,-95.364881,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,Manual,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902081,ALDINE NINTH GRADE SCHOOL,REGULAR INSTRUCTIONAL,,10650 N FWY,HOUSTON,TX,77037-1128,10650 N FWY,HOUSTON,TX,77037-1128,(281) 878-6800,(281) 878-6824,wstewart@aldine.k12.tx.us,www.aldine.k12.tx.us,JENNIFER MARRYMAN   ,'09,791,Active,1998-06-01,2015-03-14T05:35:12,14,USCGeocoder,1,47,f7ee2bab-9a7e-4f13-b2d3-5b4232566d49,4.01,,29.919316,-95.411315,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,Manual,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902082,DAVIS NINTH GRADE,REGULAR INSTRUCTIONAL,,12211 ELLA BLVD,HOUSTON,TX,77067,12211 ELLA BLVD,HOUSTON,TX,77067,(281) 985-6216,(281) 985-7139,cmoore@aldine.k12.tx.us,,HEATHER KIRK   ,'09,896,Active,2013-07-10,2015-03-14T05:35:12,15,USCGeocoder,1,31,81ef58db-aff5-4bec-bd0c-3b167ee549f8,4.01,,29.953875,-95.433567,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,Manual,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902083,MACARTHUR NINTH GRADE SCHOOL,REGULAR INSTRUCTIONAL,,12111 GLOGER RD,HOUSTON,TX,77039-9999,12111 GLOGER RD,HOUSTON,TX,77039-9999,(281) 985-7400,(281) 985-7423,cmullenix@aldine.k12.tx.us,www.aldine.k12.tx.us,CRAIG MULLENIX   ,'09,976,Active, ,2015-03-14T05:35:12,16,USCGeocoder,1,78,51573866-dd34-48c4-9a5d-bb6994424b14,4.01,,29.8993414744,-95.3312418821,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,94.0828402367,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,8519.59194607,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902084,EISENHOWER NINTH GRADE SCHOOL,REGULAR INSTRUCTIONAL,,3550 W GULFBANK,HOUSTON,TX,77088-9999,3550 W GULFBANK,HOUSTON,TX,77088-9999,(281) 878-7700,(281) 878-7736,lhunter@aldine.k12.tx.us,www.aldine.k12.tx.us,LAURA HUNTER   ,'09,671,Active,1997-04-07,2015-03-14T05:35:12,17,USCGeocoder,1,31,15ee0fbe-976a-44b9-a711-3807d46f122b,4.01,,29.8838505586,-95.4589367548,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,61218.9750383,Meters,2,Parcel
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902085,NIMITZ NINTH GRADE SCHOOL,REGULAR INSTRUCTIONAL,,2425 W W THORNE DR,HOUSTON,TX,77073-3403,2425 W W THORNE DR,HOUSTON,TX,77073-3403,(281) 209-8200,(281) 209-8220,cwatsonb@aldine.k12.tx.us,www.aldine.k12.tx.us,TONYA LANDRY   ,'09,692,Active, ,2015-03-14T05:35:12,18,USCGeocoder,1,16,9284d80e-ec12-4c8c-b2c2-ec986683fc41,4.01,,30.0059347584,-95.3851555163,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,92.0118343195,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,22441.8515532,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902090,COMPASS,DAEP INSTRUCTIONAL,,1617 LAUDER RD,HOUSTON,TX,77039,1617 LAUDER RD,HOUSTON,TX,77039,(281) 985-6264,(281) 985-7129,jmetcalf@aldine.k12.tx.us,,JAMES METCALF   ,'03-12,204,Active,2006-05-12,2015-03-14T05:35:12,19,USCGeocoder,1,16,a28c6b30-efb2-4c9f-8605-608212fccf25,4.01,,29.9141197762,-95.3614866335,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,76199.757844,Meters,2,Parcel
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902098,HIGHPOINT,DAEP INSTRUCTIONAL,,6300 IRVINGTON,HOUSTON,TX,77022,6300 IRVINGTON,HOUSTON,TX,77022,(281) 449-1011, ,,,SEAN CAIN   ,'05-12,19,Active,2004-04-14,2015-03-14T05:35:12,20,USCGeocoder,1,0,1d1d578b-6887-43a5-b27e-59fbab6f471e,4.01,,29.8163583201,-95.3611325591,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,97.0414201183,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2020.89414685,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902099,ALDINE J J A E P,JJAEP INSTRUCTIONAL,,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,1310 PRAIRE STE 1080,HOUSTON,TX,77002-2020,(281) 449-1011, ,,,    ,'05-12,0,Active,1997-05-01,2015-03-14T05:35:12,21,USCGeocoder,1,47,e7822f51-e537-4401-8472-08b7f66bbcf7,4.01,,,,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,Unknown,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902101,ANDERSON ACADEMY,REGULAR INSTRUCTIONAL,,7401 WHEATLEY ST,HOUSTON,TX,77088-7845,7401 WHEATLEY ST,HOUSTON,TX,77088-7845,(281) 878-0370,(281) 591-8549,jjohnson02@aldine.k12.tx.us,www.aldine.K12.tx.us,JULIE JOHNSON   ,'01-03,698,Active, ,2015-03-14T05:35:12,22,USCGeocoder,1,16,21117ad7-30bc-4949-a936-398e7b6bb827,4.01,,29.8681332141,-95.4304688935,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,28432.2354235,Meters,2,Parcel
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902102,BETHUNE ACADEMY,REGULAR INSTRUCTIONAL,,2500 S VICTORY DR,HOUSTON,TX,77088-7099,2500 S VICTORY DR,HOUSTON,TX,77088-7099,(281) 878-0380,(281) 878-0383,tcraft@aldine.k12.tx.us,www.aldine.K12.tx.us,THERESA CRAFT   ,'03-04,388,Active, ,2015-03-14T05:35:12,23,USCGeocoder,1,0,815e7aae-d37e-4dff-ac0e-9d6a5e5ac14f,4.01,,29.8713537156,-95.4481330105,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,32368.5128198,Meters,2,Parcel
