CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_etimms_output_14_et,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902121,BUSH EL,REGULAR INSTRUCTIONAL,,7420 CROWNRIDGE DR,THE WOODLANDS,TX,77382-1180,7420 CROWNRIDGE DR,THE WOODLANDS,TX,77382-1180,(936) 709-1600,(936) 709-1699,jmills@conroeisd.net,www.conroeisd.net,MS JUDY MILLS   ,'EE-04,698,Active,1996-07-01,2015-03-14T05:35:21,11,USCGeocoder,31,1,4.01,,a313fe48-40cb-4940-8def-803fd631675e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,42080.4934015,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.2112344425,-95.5174720091,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902122,POWELL EL,REGULAR INSTRUCTIONAL,,7332 COCHRANS CROSSING DR,THE WOODLANDS,TX,77381-6282,7332 COCHRANS CROSSING DR,THE WOODLANDS,TX,77381-6282,(936) 709-1700,(936) 709-1799,lgarrison@conroeisd.net,www.conroeisd.net,MRS LISA GARRISON   ,'EE-04,807,Active,1993-07-01,2015-03-14T05:35:21,12,USCGeocoder,31,1,4.01,,46e6637c-df3d-4568-9f7e-d8e72d98a4ae,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,44996.9672206,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.198647772,-95.5111898691,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902123,BUCKALEW EL,REGULAR INSTRUCTIONAL,,4909 W ALDEN BRIDGE DR,THE WOODLANDS,TX,77382,4909 W ALDEN BRIDGE DR,THE WOODLANDS,TX,77382,(281) 465-3400,(281) 465-3499,lcrews@conroeisd.net,www.conroeisd.net,MS LINDA CREWS   ,'EE-04,698,Active,1998-05-21,2015-03-14T05:35:21,13,USCGeocoder,47,1,4.01,,fa3426a9-cc03-45a2-8980-813cf42622d5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,8641.44674391,ArealInterpolationGeometricCentroid,Parcel,95.2662721893,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.203665249,-95.5442355299,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902124,REAVES EL,REGULAR INSTRUCTIONAL,,1717 N LOOP 336 W,CONROE,TX,77304-3509,1717 N LOOP 336 W,CONROE,TX,77304-3509,(936) 709-5400,(936) 709-5407,nwalker@conroeisd.net,www.conroeisd.net,MS NICOLE WALKER   ,'EE-04,685,Active,2004-07-05,2015-03-14T05:35:21,14,USCGeocoder,31,1,4.01,,0e07778a-c87e-4410-8f60-9b8745ba2b05,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,47239.1718915,ArealInterpolationGeometricCentroid,Parcel,97.0414201183,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.3307479466,-95.4845375304,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902125,KAUFMAN EL,REGULAR INSTRUCTIONAL,,2760 NORTHRIDGE FOREST DR,SPRING,TX,77386,2760 NORTHRIDGE FOREST DR,SPRING,TX,77386,(832) 592-5600,(832) 592-5617,jedaw@conroeisd.net,www.conroeisd.net,MS TINA OLIVER   ,'EE-04,864,Active,2005-04-29,2015-03-14T05:35:21,15,USCGeocoder,63,1,4.01,,d5771b75-7498-4e9d-a98e-e95c8d5c2e2d,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.144384,-95.398775,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902126,WILKINSON EL,REGULAR INSTRUCTIONAL,,2575 ED KHARBAT,CONROE,TX,77301,2575 ED KHARBAT,CONROE,TX,77301,(936) 709-1500,(936) 709-1599,vuher@conroeisd.net,www.conroeisd.net,MR VICTOR UHER   ,'EE-04,613,Active,2009-08-10,2015-03-14T05:35:21,16,USCGeocoder,63,1,4.01,,008fffe5-c399-45a6-b65f-844a9c06f8d0,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.275561,-95.431155,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902127,BROADWAY EL,REGULAR INSTRUCTIONAL,,2855 SPRING TRAILS BEND,SPRING,TX,77386,2855 SPRING TRAILS BEND,SPRING,TX,77386,(281) 465-2900,(281) 465-2903,sconley@conroeisd.net,www.conroeisd.net,MS SHANNON CONLEY   ,'EE-04,974,Active,2007-08-10,2015-03-14T05:35:21,17,USCGeocoder,94,1,4.01,,ec2e9366-36b5-4fb1-8c0d-d45787f6a0e6,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.095404,-95.385643,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902128,PATTERSON EL,REGULAR INSTRUCTIONAL,,670 BEACH AIRPORT RD,CONROE,TX,77301,670 BEACH AIRPORT RD,CONROE,TX,77301,(936) 709-4300,(936) 709-4399,glozano@conroeisd.net,www.conroeisd.net,MR GILBERT LOZANO   ,'EE-04,686,Active,2014-08-06,2015-03-14T05:35:21,18,USCGeocoder,94,1,4.01,,e0a62fd3-2176-4f7c-93ad-e8163ca25979,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.328009,-95.420295,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902129,BIRNHAM WOODS EL,REGULAR INSTRUCTIONAL,,31150 BIRNHAM WOODS DR,SPRING,TX,77386,31150 BIRNHAM WOODS DR,SPRING,TX,77386,(832) 663-4200,(832) 663-4299,cbutler@conroeisd.net,www.conroeisd.net,MS CHRISTINE BUTLER   ,'EE-04,940,Active,2009-08-10,2015-03-14T05:35:21,19,USCGeocoder,31,1,4.01,,1898ff0f-59b7-4d89-acc3-761cf38073c7,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.142771,-95.384912,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902130,STEWART EL,REGULAR INSTRUCTIONAL,,680 FISH CREEK THOROUGHFARE,MONTGOMERY,TX,77316,680 FISH CREEK THOROUGHFARE,MONTGOMERY,TX,77316,(936) 709-4200,(936) 709-4299,cfitzpatrick@conroeisd.net,www.conroeisd.net,MS CARRIE FITZPATRICK   ,'EE-06,423,Active,2014-08-06,2015-03-14T05:35:21,20,USCGeocoder,16,1,4.01,,a51d43fb-c1fb-4fd6-b637-01f7f6e0f7ed,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.291089,-95.578226,Exact
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902131,SNYDER EL,REGULAR INSTRUCTIONAL,,28601 BIRNHAM WOODS DR,SPRING,TX,77386,28601 BIRNHAM WOODS DR,SPRING,TX,77386,(281) 863-4400,(281) 863-4499,lardoin@conroeisd.net,www.conroeisd.net,MS LINDSAY ARDOIN   ,'PK-04,862,Active,2013-06-23,2015-03-14T05:35:21,21,USCGeocoder,31,1,4.01,,1e7274c5-8b3b-47d8-8056-566cfb3ace56,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7472.22842684,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.1114760647,-95.3772897086,Relaxed
'170,MONTGOMERY COUNTY,'06,'170902,CONROE ISD,INDEPENDENT,3205 W DAVIS,CONROE,TX,77304,3205 W DAVIS,CONROE,TX,77304,(936) 709-9719,(936) 709-9701,dstockton@conroeisd.net,www.conroeisd.net,DR DON STOCKTON   ,56363,'170902201,JUVENILE DETENTION CTR,ALTERNATIVE INSTRUCTIONAL,,200 ACADEMY DR,CONROE,TX,77301,200 ACADEMY DR,CONROE,TX,77301,(936) 538-3420,(936) 538-3275,reikenberg@conroeisd.net,www.conroeisd.net,MR JEFFREY ELDRIDGE   ,'04-12,21,Active,1992-07-01,2015-03-14T05:35:21,22,USCGeocoder,31,1,4.01,,cfc689eb-ff6e-473f-9214-9e99b30b52a1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4255.77099961,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.3334016143,-95.4545136384,Exact
'170,MONTGOMERY COUNTY,'06,'170903,MONTGOMERY ISD,INDEPENDENT,P O BOX 1475,MONTGOMERY,TX,77356-1475,13159 WALDEN RD,MONTGOMERY,TX,77356-1475,(936) 582-1333,(936) 582-6457,superintendent@misd.org,www.misd.org,DR BEAU REES   ,7936,'170903002,MONTGOMERY H S,REGULAR INSTRUCTIONAL,,P O  BOX 1475,MONTGOMERY,TX,77356-4429,22825 HWY 105 W,MONTGOMERY,TX,77356-4429,(936) 597-6401,(936) 597-6415,peaton@misd.org,www.misd.org/mhs/,MR PHIL EATON   ,'09-12,2362,Active, ,2015-03-14T05:35:21,23,USCGeocoder,63,1,4.01,,7b902843-5ece-41af-bbb3-025411e683e1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,9940.28520774,LinearInterpolationAddressRange,StreetSegment,97.6331360947,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.3888121996,-95.7188764149,Relaxed
'170,MONTGOMERY COUNTY,'06,'170903,MONTGOMERY ISD,INDEPENDENT,P O BOX 1475,MONTGOMERY,TX,77356-1475,13159 WALDEN RD,MONTGOMERY,TX,77356-1475,(936) 582-1333,(936) 582-6457,superintendent@misd.org,www.misd.org,DR BEAU REES   ,7936,'170903003,MONTGOMERY CO J J A E P,JJAEP INSTRUCTIONAL,,2235 N 1ST ST,CONROE,TX,77301,2235 N 1ST ST,CONROE,TX,77301, , ,superintendent@misd.org,,    ,'04-12,-1,Active,1998-07-01,2015-03-14T05:35:21,24,USCGeocoder,109,1,4.01,,d28a734b-12fc-45f6-8c2e-d1988271c167,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7805.17190549,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.3332774851,-95.4560465443,Exact
'170,MONTGOMERY COUNTY,'06,'170903,MONTGOMERY ISD,INDEPENDENT,P O BOX 1475,MONTGOMERY,TX,77356-1475,13159 WALDEN RD,MONTGOMERY,TX,77356-1475,(936) 582-1333,(936) 582-6457,superintendent@misd.org,www.misd.org,DR BEAU REES   ,7936,'170903042,MONTGOMERY J H,REGULAR INSTRUCTIONAL,,P O BOX 1475,MONTGOMERY,TX,77356-4429,19000 STEWART CREEK RD,MONTGOMERY,TX,77356-4429,(936) 582-6400,(936) 582-6329,achapman@misd.org,www.misd.org/mjhs/,MRS ANGIE CHAPMAN   ,'07-08,1276,Active,1987-05-20,2015-03-14T05:35:21,25,USCGeocoder,63,1,4.01,,c92dbe12-9cb3-41f0-a200-030108e35838,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.390313,-95.667339,Exact
