CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-25_winterbryan_output_16_bw,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905062,INT'L NEWCOMER ACAD,ALTERNATIVE INSTRUCTIONAL,,7060 CAMP BOWIE,FORT WORTH,TX,76116-8837,7060 CAMP BOWIE,FORT WORTH,TX,76116-8837,(817) 815-5600,(817) 815-5650,WEB@FWISD.ORG,www.fortworthisd.org,RODRIGO DURBIN   ,'06-12,449,Active,1993-07-01,2015-03-14T05:35:24,11,USCGeocoder,31,1,4.01,,03f96915-2080-47c9-88ee-dbc5f81b88a3,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.720151,-97.437609,Exact
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905063,COMO MONTESSORI,REGULAR INSTRUCTIONAL,,4001 LITTLEPAGE ST,FORT WORTH,TX,76107-6930,4001 LITTLEPAGE ST,FORT WORTH,TX,76107-6930,(817) 815-7200,(817) 815-7250,WEB@FWISD.ORG,www.fortworthisd.org,MS JANNA BENNETT   ,'KG-08,352,Active, ,2015-03-14T05:35:24,12,USCGeocoder,16,1,4.01,,2cd4c68f-3448-4ac9-b580-45f82b86a5d9,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,13100.378156,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7212257175,-97.4107295529,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905064,GLENCREST 6TH GRADE SCH,REGULAR INSTRUCTIONAL,,4801 EASTLINE DR,FORT WORTH,TX,76119-4699,4801 EASTLINE DR,FORT WORTH,TX,76119-4699,(817) 815-8400,(817) 815-8450,WEB@FWISD.ORG,www.fortworthisd.org,MR KEITH CHRISTMAS   ,'06,399,Active, ,2015-03-14T05:35:24,13,USCGeocoder,47,1,4.01,,2ef0e9c7-ee39-4594-8bf5-4c2db2b9a500,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,22954.6157217,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.6931379162,-97.2908006029,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905066,WILLOUGHBY HOUSE,ALTERNATIVE INSTRUCTIONAL,,8100 ELIZABETH LN,FORT WORTH,TX,76116-3091,8100 ELIZABETH LN,FORT WORTH,TX,76116-3091,(817) 814-2952,(817) 814-2964,WEB@FWISD.ORG,www.fwisd.org,MS LOESTER POSEY   ,'06-12,-1,Active, ,2015-03-14T05:35:24,14,USCGeocoder,31,1,4.01,,c1d18c53-933d-4124-a724-58eb8070f40c,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1489.28254839,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7250976431,-97.4554517688,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905067,ROSEMONT 6TH GRADE,REGULAR INSTRUCTIONAL,,3908 MC CART,FORT WORTH,TX,76110,3908 MC CART,FORT WORTH,TX,76110,(817) 814-7300,(817) 814-7350,WEB@FWISD.ORG,www.fortworthisd.org,MR KENNETH GOODWIN   ,'06,465,Active,1999-04-02,2015-03-14T05:35:24,15,USCGeocoder,16,1,4.01,,e44837ae-41d1-4636-aadb-8e2cc7567b1f,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,28429.2673503,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.6913050653,-97.353933459,Relaxed;Soundex
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905069,MCLEAN 6TH GRADE,REGULAR INSTRUCTIONAL,,3201 S HILLS AVE,FORT WORTH,TX,76109,3201 S HILLS AVE,FORT WORTH,TX,76109,(817) 207-6700,(817) 207-6705,WEB@FWISD.ORG,www.fortworthisd.org,MS SARAH WEEKS   ,'06,471,Active,2000-01-18,2015-03-14T05:35:24,16,USCGeocoder,16,1,4.01,,a0788fab-e1ea-4ff6-a68c-e6bfbc6e5d0c,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,18684.0458302,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.6957958844,-97.3639837582,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905070,JEAN MCCLUNG MIDDLE,REGULAR INSTRUCTIONAL,,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 871-2000,(817) 871-2001,web@FWISD.ORG,,DAVID MARION   ,'06-08,832,Active,2011-08-22,2015-03-14T05:35:24,17,USCGeocoder,63,1,4.01,,0ed6e082-1add-48f8-bfcc-e976795b7770,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,16968.4697433,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7601934564,-97.3604413031,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905071,BENBROOK MIDDLE,REGULAR INSTRUCTIONAL,,201 OVERCREST,FORT WORTH,TX,76126-3010,201 OVERCREST,FORT WORTH,TX,76126-3010,(817) 871-2000,(817) 871-2001,web@FWISD.ORG,,MR RICHARD PENLAND   ,'06-09,911,Active,2011-08-22,2015-03-14T05:35:24,18,USCGeocoder,47,1,4.01,,e402b9df-84ac-45b3-b1ca-4ef84003c1a7,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,14925.2265017,LinearInterpolationAddressRange,StreetSegment,96.9408284024,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.6652818282,-97.4840600703,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905080,SPED PRIVATE/HOMEBOUND,ALTERNATIVE INSTRUCTIONAL,,100 N UNVIERSITY DR,FORT WORTH,TX,76107,100 N UNIVERSITY DR,FORT WORTH,TX,76107,(817) 814-2850,(817) 814-2853,WEB@FWISD.ORG,,MR MISSY HEADY   ,'EE KG-12,0,Active,2003-01-06,2015-03-14T05:35:24,19,USCGeocoder,16,1,4.01,,2265da6e-c1e7-4234-a7e0-03e527ae6b5b,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,16968.4697433,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7601934564,-97.3604413031,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905081,YOUNG WOMEN'S LEADERSHIP ACADEMY,REGULAR INSTRUCTIONAL,,1066 W MAGNOLIA,FORT WORTH,TX,76104,1066 W MAGNOLIA,FORT WORTH,TX,76104,(817) 871-2475,(817) 871-2309,web@fwisd.org,schools.fwisd.org/ywla/Pages/default.asp,MIA HALL   ,'06-12,312,Active,2010-08-23,2015-03-14T05:35:24,20,USCGeocoder,16,1,4.01,,bd9ebf14-2ab2-4802-a96a-246b0d6c1018,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4404.50518799,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7310514534,-97.3363893432,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905082,TEXAS ACADEMY OF BIOMEDICAL,REGULAR INSTRUCTIONAL,,2100 CLOVER LN,FORT WORTH,TX,76107-3010,2100 CLOVER LN,FORT WORTH,TX,76107-3010,(817) 815-1300,(817) 815-1350,web@fwisd.org,,TROY LAGNSTON   ,'09-12,360,Active,2011-08-22,2015-03-14T05:35:24,21,USCGeocoder,0,1,4.01,,ba86168b-a695-4b82-b94d-d269dd4023e7,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,31244.4868269,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7380280981,-97.3792189103,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905083,YOUNG MEN'S LEADERSHIP ACADEMY,REGULAR INSTRUCTIONAL,,100 N UNIVERSITY DR,FORT WORTH,TX,76107,100 N UNIVERSITY DR,FORT WORTH,TX,76107,(817) 815-3400,(817) 815-3450,web@FWISD.ORG,,    ,'06-09,265,Active,2012-08-27,2015-03-14T05:35:24,22,USCGeocoder,16,1,4.01,,4b682374-2fdf-4508-b823-5364834076b1,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,16968.4697433,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7601934564,-97.3604413031,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905084,WORLD LANGUAGES INSTITUTE,REGULAR INSTRUCTIONAL,,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010, , ,WEB@FWISD.ORG,,    ,'06-12,148,Active,2014-08-25,2015-03-14T05:35:24,23,USCGeocoder,16,1,4.01,,596c32fe-6fc4-48f4-be26-22819839c6fe,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,16968.4697433,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7601934564,-97.3604413031,Relaxed
'220,TARRANT COUNTY,'11,'220905,FORT WORTH ISD,INDEPENDENT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,(817) 814-2000,(817) 814-2112,web@FWISD.ORG,www.fwisd.org,DR PATRICIA LINARES   ,85975,'220905085,MARINE CREEK COLLEGIATE H S,REGULAR INSTRUCTIONAL,,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010, , ,web@FWISD.ORG,,    ,'09-12,262,Active,2014-08-25,2015-03-14T05:35:24,24,USCGeocoder,0,1,4.01,,c2ff8c84-70c4-4908-a19c-fa798e21aa75,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,16968.4697433,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,32.7601934564,-97.3604413031,Relaxed
