CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_wesmartin_output_10_wm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912353,SCHOOL AT ST GEORGE PLACE,REGULAR INSTRUCTIONAL,,5430 HIDALGO ST,HOUSTON,TX,77056-6211,5430 HIDALGO ST,HOUSTON,TX,77056-6211,(713) 625-1499,(713) 985-7455,dwheat@houstonisd.org,www.houstonisd.org,MR DAVE D WHEAT   ,'EE-06,786,Active,2007-08-21,2015-03-14T05:35:00,11,USCGeocoder,31,1,4.01,,9449265a-ee1f-49e2-bf64-a4ed9518b4f4,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,443.782420516,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7355056378,-95.4726658889,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912354,MISTRAL CENTER FOR EARLY CHILDHOOD,REGULAR INSTRUCTIONAL,,6203 JESSAMINE,HOUSTON,TX,77081-6304,6203 JESSAMINE,HOUSTON,TX,77081-6304,(713) 773-6253,(713) 773-6257,lalaniz@houstonisd.org,www.houstonisd.org,MS LAURA A ALANIZ   ,'EE-KG,324,Active,2005-10-19,2015-03-14T05:35:00,12,USCGeocoder,16,1,4.01,,82fd242e-a1b1-49f5-94d1-035165923ec0,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,13799.3890619,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7013389874,-95.4917006323,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912355,KING EARLY CHILDHOOD CTR,REGULAR INSTRUCTIONAL,,3930 W FUQUA,HOUSTON,TX,77045-6302,3930 W FUQUA,HOUSTON,TX,77045-6302,(713) 797-7900,(713) 797-7904,gcoleman@houstonisd.org,www.houstonisd.org,MS GABRIELLE J COLEMAN   ,'EE-PK,407,Active,2004-06-14,2015-03-14T05:35:00,13,USCGeocoder,47,1,4.01,,15a03c4d-999f-45c4-9a6b-bab353edc111,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,19611.340584,ArealInterpolationGeometricCentroid,Parcel,88.8165680473,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6110465592,-95.3592783155,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912357,LAURENZO EARLY CHILDHOOD CTR,REGULAR INSTRUCTIONAL,,205 N DELMAR,HOUSTON,TX,77011-2309,205 N DELMAR,HOUSTON,TX,77011-2309,(713) 924-0350,(713) 924-0390,mlopezro@houstonisd.org,www.houstonisd.org,MS MARIA C LOPEZ-ROGINA   ,'EE-KG,328,Active,2004-06-14,2015-03-14T05:35:00,14,USCGeocoder,16,1,4.01,,c2167a30-083d-4239-ab0a-73b17939b333,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3663.44023345,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7464536177,-95.3197210793,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912358,COOK JR EL,REGULAR INSTRUCTIONAL,,7115 LOCKWOOD,HOUSTON,TX,77016-7027,7115 LOCKWOOD,HOUSTON,TX,77016-7027,(713) 636-6040,(713) 636-6088,akirby@houstonisd.org,www.houstonisd.org,ANGEL D KIRBY   ,'EE-05,699,Active,2006-08-14,2015-03-14T05:35:00,15,USCGeocoder,63,1,4.01,,658161a4-0713-43dd-89de-7943af60f954,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,24269.3174225,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.8243379712,-95.3196438271,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912359,MORENO EL,REGULAR INSTRUCTIONAL,,620 E CANINO,HOUSTON,TX,77037-4619,620 E CANINO,HOUSTON,TX,77037-4619,(281) 405-2150,(281) 405-2176,acastro1@houstonisd.org,www.houstonisd.org,MS ADRIANA CASTRO   ,'EE-05,821,Active,2005-07-20,2015-03-14T05:35:00,16,USCGeocoder,47,1,4.01,,bbf4a765-e66d-4c8f-a65e-ae1f729b9b09,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5637.18229703,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.87546089,-95.3910092812,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912360,BELLFORT EARLY CHILDHOOD CENTER,REGULAR INSTRUCTIONAL,,7647 BELLFORT,HOUSTON,TX,77061-1703,7647 BELLFORT,HOUSTON,TX,77061-1703,(713) 640-0950,(713) 640-0957,clewis@houstonisd.org,www.houstonisd.org,MS CHERYL LEWIS   ,'EE-KG,375,Active,1998-07-01,2015-03-14T05:35:00,17,USCGeocoder,16,1,4.01,,b2831d0f-fc88-48eb-9a57-128ddce88b4b,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5885.81629274,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6729633583,-95.2840283115,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912364,ENERGIZED FOR EXCELLENCE ACADEMY EL,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,6201 BISSONNET,HOUSTON,TX,77081-6809,6107 BISSONNET,HOUSTON,TX,77081-6809,(713) 773-3600,(713) 773-3630,jcintron@houstonisd.org,www.houstonisd.org,MR JOSE A CINTRON   ,'KG-05,1659,Active,1998-05-13,2015-03-14T05:35:00,18,USCGeocoder,0,1,4.01,,a2c0e5d1-4657-4274-a4e5-a43f508be773,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,19915.9533394,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6957776185,-95.4893824253,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912369,GROSS EL,REGULAR INSTRUCTIONAL,,12583 S GESSNER DR,HOUSTON,TX,77071-2848,12583 S GESSNER DR,HOUSTON,TX,77071-2848,(713) 778-8450,(713) 778-8450,jbrooks5@houstonisd.org,www.houstonisd.org,MS JILL Y BROOKS   ,'EE-05,728,Active,2000-12-14,2015-03-14T05:35:00,19,USCGeocoder,16,1,4.01,,102bdc22-c73b-4d58-846d-42081251f975,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,59796.365732,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6391526179,-95.5275595637,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912371,YOUNG SCHOLARS ACADEMY FOR EXCELLENCE,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,1809 LOUISIANA,HOUSTON,TX,77002-8013,1809 LOUISIANA ST,HOUSTON,TX,77002-8013,(713) 654-1404,(713) 654-1401,ACOLEMA3@houstonisd.org,www.houstonisd.org,MS ANELLA COLEMAN   ,'PK-08,182,Active,1997-07-01,2015-03-14T05:35:00,20,USCGeocoder,16,1,4.01,,e49e0eee-435e-40b9-8d22-d46701237c63,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,469.542291194,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7520264853,-95.3723099362,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912372,RODRIGUEZ EL,REGULAR INSTRUCTIONAL,,5858 CHIMNEY ROCK,HOUSTON,TX,77081-2714,5858 CHIMNEY ROCK,HOUSTON,TX,77081-2714,(713) 295-3870,(713) 295-3875,emartine@houstonisd.org,www.houstonisd.org,MS ELENA MARTINEZ-BULEY   ,'EE-05,1026,Active,1999-07-22,2015-03-14T05:35:00,21,USCGeocoder,16,1,4.01,,49b5e387-2d0d-4b2c-a4fb-3018c55c318f,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,39428.6710089,ArealInterpolationGeometricCentroid,Parcel,92.4852071006,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.7187990863,-95.4780894461,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912373,SEGUIN EL,REGULAR INSTRUCTIONAL,,5905 WALTRIP,HOUSTON,TX,77087-5140,5905 WALTRIP,HOUSTON,TX,77087-5140,(713) 845-5600,(713) 845-5615,nsada@houstonisd.org,www.houstonisd.org,MS NORA E SADA   ,'EE-05,663,Active,1999-07-22,2015-03-14T05:35:00,22,USCGeocoder,16,1,4.01,,24b3d1ad-5967-4aa6-8a30-7300a663ee87,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1063.06694603,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.6792195252,-95.3067679287,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912374,TINSLEY EL,REGULAR INSTRUCTIONAL,,11035 BOB WHITE,HOUSTON,TX,77096-5714,11035 BOB WHITE,HOUSTON,TX,77096-5714,(713) 778-8400,(713) 778-8405,DBARRAGA@houstonisd.org,www.houstonisd.org,MR DAVID BARRAGATO   ,'EE 01-05,793,Active,1999-07-22,2015-03-14T05:35:00,23,USCGeocoder,31,1,4.01,,487313bc-5d63-4032-92f5-83e61140896e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2883.22589885,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.665604102,-95.5010758872,Relaxed,
'101,HARRIS COUNTY,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6000,(713) 556-6006,infocenter@houstonisd.org,www.houstonisd.org,DR TERRY B GRIER   ,215225,'101912378,KANDY STRIPE ACADEMY,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,8701 DELILAH,HOUSTON,TX,77033-1727,8701 DELILAH,HOUSTON,TX,77033-1727,(713) 734-4909,(713) 731-2780,cander12@houstonisd.org,www.houstonisd.org,MS CASSANDRA ANDERSON   ,'PK-05,296,Active,2001-08-14,2015-03-14T05:35:00,24,USCGeocoder,31,1,4.01,,2a7d84a0-410c-400a-b4ce-d51ea06b8f99,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,25399.4600641,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.6661305318,-95.3536885501,Relaxed,
