CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_nicolecobler_output_03_nc,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'021,BRAZOS COUNTY,'06,'021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,CHARTER,410 BETHEL LN,BRYAN,TX,77802,410 BETHEL LN,BRYAN,TX,77802,(979) 268-8884,(979) 774-5039,kgreenwood@thebrazosschool.org,,DR KATY GREENWOOD   ,434,'021803001,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,410 BETHEL LN,BRYAN,TX,77802,410 BETHEL LN,BRYAN,TX,77802,(979) 774-5032,(979) 774-5039,cosgood@thebrazosschool.org,,MR CHRISTOPHER OSGOOD   ,'PK-08,134,Active,1999-03-09,2015-03-14T05:35:01,14,USCGeocoder,31,1,4.01,,4099c593-47ad-4dc5-a889-4ab07eeea8a2,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,15952.1981311,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.6582472457,-96.3672864119,Relaxed
'021,BRAZOS COUNTY,'06,'021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,CHARTER,410 BETHEL LN,BRYAN,TX,77802,410 BETHEL LN,BRYAN,TX,77802,(979) 268-8884,(979) 774-5039,kgreenwood@thebrazosschool.org,,DR KATY GREENWOOD   ,434,'021803102,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY GANO,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,410 BETHEL LN,BRYAN,TX,77802,1055 W TIDWELL RD,HOUSTON,TX,77091,(713) 681-1960,(713) 681-1979,bward@thebrazosschool.org,,BARRY WARD   ,'PK-08,169,Active,2004-09-21,2015-03-14T05:35:01,15,USCGeocoder,47,1,4.01,,886a2376-bd51-4af1-9cfc-77bd74bc51f5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,472.255830726,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.8469078058,-95.4288560112,Exact
'021,BRAZOS COUNTY,'06,'021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,CHARTER,410 BETHEL LN,BRYAN,TX,77802,410 BETHEL LN,BRYAN,TX,77802,(979) 268-8884,(979) 774-5039,kgreenwood@thebrazosschool.org,,DR KATY GREENWOOD   ,434,'021803104,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY SOUTHWEST,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,410 BETHEL LN,BRYAN,TX,77802,6400 SW FWY STE S,HOUSTON,TX,77074,(713) 952-4300,(713) 270-4510,trock@thebrazosschool.org,,TIFFANY ROCK   ,'PK-12,131,Active,2004-09-21,2015-03-14T05:35:01,16,USCGeocoder,47,1,4.01,,7c28cf18-a824-4144-80a6-32b8cca21e0a,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.721042,-95.497523,Exact
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805002,ARROW ACADEMY - ODYSSEY PREPARATORY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,8787 N HOUSTON ROSSLYN RD,HOUSTON,TX,77088,(713) 983-0165,(713) 983-0294,venora.goodie@arrowacademy.org,,VENORA GOODIE   ,'KG-08,119,Active,2012-08-20,2015-03-14T05:35:01,17,USCGeocoder,47,1,4.01,,c44d3beb-e0d2-4dbc-8880-e5bea0627e85,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,19645.6053164,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.8709944197,-95.4923881993,Relaxed
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805041,ARROW ACADEMY - SAVE OUR STREETS CENTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1700 GROESBECK ST,BRYAN,TX,77803,1700 GROESBECK ST,BRYAN,TX,77803,(979) 703-1810,(797) 703-1834,john.forbis@arrowacademy.org,www.arrowacademy.org,JOHN FORBIS   ,'KG-06,76,Active,2011-08-22,2015-03-14T05:35:01,18,USCGeocoder,16,1,4.01,,3778f544-eba9-4cc8-845e-d26d03843438,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6194.45548654,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.6560113726,-96.380100099,Relaxed
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805101,ARROW ACADEMY - LIBERATION ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,401 PRESENT ST,MISSOURI CITY,TX,77489,401 PRESENT ST,MISSOURI CITY,TX,77489,(281) 969-7766,(281) 969-7762,audrey.sanders@arrowacademy.org,www.arrowacademy.org,MRS AUDREY SANDERS   ,'KG-05,136,Active,2011-08-22,2015-03-14T05:35:01,19,USCGeocoder,78,1,4.01,,c14c74fa-b8c5-4dac-8812-ada00e4688ab,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3524.12514071,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.6107024172,-95.5432609317,Exact
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805102,ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,17770 IMPERIAL VALLEY DR,HOUSTON,TX,77060,17770 IMPERIAL VALLEY DR,HOUSTON,TX,77060,(281) 872-5201,(281) 872-5206,nicole.mukes@arrowacademy.org,www.arrowacademy.org,MS NI'COLE MUKES DYSON   ,'KG-05,121,Active,2011-08-22,2015-03-14T05:35:01,20,USCGeocoder,47,1,4.01,,ab660e77-c6d5-478e-9b3f-f0a47554f1f4,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,91709.2579303,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,29.954851637,-95.3974923751,Relaxed
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805104,ARROW ACADEMY - LAS AMERICAS LEARNING CENTER,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,5808 RENWICK DR,HOUSTON,TX,77081,(832) 582-7327,(832) 582-7325,lillian.martinez@arrowacademy.org,,LILLIAN MARTINEZ   ,'KG-07,195,Active,2012-08-27,2015-03-14T05:35:01,21,USCGeocoder,31,1,4.01,,d47ee62c-b72f-42f2-8134-433151833cdb,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3357.8613276,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.7191994917,-95.484928425,Exact
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805105,ARROW ACADEMY - CHAMPIONS ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2113 CYPRESS LANDING DR,HOUSTON,TX,77090,(979) 703-8220,(979) 703-8220,kesha.fomby@arrowacademy.org,,KESHA FOMBY   ,'KG-05,118,Active,2014-08-05,2015-03-14T05:35:01,22,USCGeocoder,16,1,4.01,,6adbd0c6-e21d-4d9e-adf9-1293fa385a9e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3645.5789485,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,30.0026171502,-95.4582838788,Relaxed
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805106,ARROW ACADEMY - MCCORMACK HONORS ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,5874 BELLFORT ST,HOUSTON,TX,77033,(979) 703-8820,(979) 703-8820,darlene.breaux@arrowacademy.org,,KESHA FOMBY   ,'KG-05,79,Active,2014-08-06,2015-03-14T05:35:01,23,USCGeocoder,47,1,4.01,,972a44fa-5569-42e9-b875-c2fa96577c12,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5690.86723201,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.6663742152,-95.3297106304,Exact
'021,BRAZOS COUNTY,'06,'021805,ARROW ACADEMY,CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,2423 EARL RUDDER FWY S STE 200,COLLEGE STATION,TX,77845,(979) 703-8820,(866) 871-1480,cassandra.dyson@arrowacademy.org,www.arrowacademy.org,MS CASSANDRA DYSON   ,844,'021805107,ARROW ACADEMY - FORGE ACADEMY,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 12207,COLLEGE STATION,TX,77842,3435 DIXIE DR,HOUSTON,TX,77021,(979) 703-8820,(979) 703-8820,tale.lockett@arrowacademy.org,,TALE LOCKETT   ,'KG-03,0,Active,2014-06-19,2015-03-14T05:35:01,24,USCGeocoder,94,1,4.01,,0d67a3c4-2d27-4013-9c6f-654499e8479f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,663.133078295,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.7037464259,-95.367801149,Exact
