CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_DannyG_output_07_dg,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902114,DOUGLASS EL,REGULAR INSTRUCTIONAL,,101 S EUCALYPTUS ST,EL PASO,TX,79905-4097,101 S EUCALYPTUS ST,EL PASO,TX,79905-4097,(915) 496-8070,(915) 533-3716,douglass@episd.org,douglass.episd.org,MR ALONZO BARRAZA   ,'EE-05,457,Active,27941.0,2015-03-14T05:35:08,11,USCGeocoder,31,1,4.01,,9949dc60-182b-4c58-975a-dc60fb2a814f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,601.085286353,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7672874895,-106.465194874,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902115,DOWELL EL,REGULAR INSTRUCTIONAL,,5249 BASTILLE AVE,EL PASO,TX,79924-4619,5249 BASTILLE AVE,EL PASO,TX,79924-4619,(915) 231-2560,(915) 759-7713,dowell@episd.org,dowell.episd.org,MS KERTRENIA WRIGHT   ,'EE-05,327,Active,27941.0,2015-03-14T05:35:08,12,USCGeocoder,31,1,4.01,,f77df73e-5d9d-43c2-b902-d77ad52b4dcc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3611.93371523,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8961501874,-106.419721735,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902116,FANNIN EL,REGULAR INSTRUCTIONAL,,5425 SALEM DR,EL PASO,TX,79924-1899,5425 SALEM DR,EL PASO,TX,79924-1899,(915) 849-3910,(915) 821-0680,fannin@episd.org,fannin.episd.org,MS PEGGY GUSTAFSON   ,'EE-05,588,Active,27941.0,2015-03-14T05:35:08,13,USCGeocoder,16,1,4.01,,314b201b-ace4-451c-af28-aa94a425e224,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2363.06417094,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.9181562884,-106.41713808,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902118,HART EL,REGULAR INSTRUCTIONAL,,1110 S PARK ST,EL PASO,TX,79901-3536,1110 S PARK ST,EL PASO,TX,79901-3536,(915) 496-8030,(915) 533-3726,hart@episd.org,hart.episd.org,ELIZABETH PRANGNER   ,'EE-05,579,Active,27941.0,2015-03-14T05:35:08,14,USCGeocoder,16,1,4.01,,ff7b7ca1-91a8-4720-bd74-40d45b3dc68b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2062.63920655,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7518668757,-106.473840156,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902119,HAWKINS EL,REGULAR INSTRUCTIONAL,,5816 STEPHENSON AVE,EL PASO,TX,79905-1895,5816 STEPHENSON AVE,EL PASO,TX,79905-1895,(915) 587-2660,(915) 775-2699,hawkins@episd.org,hawkins.episd.org,MS ADRIANA RUIZ   ,'EE-05,349,Active,27941.0,2015-03-14T05:35:08,15,USCGeocoder,63,1,4.01,,4ab2ba2c-42dc-4a23-8b6f-fc7363b5297d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3363.76842268,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7776729586,-106.419385985,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902121,HILLSIDE EL,REGULAR INSTRUCTIONAL,,4500 CLIFTON AVE,EL PASO,TX,79903-3197,4500 CLIFTON AVE,EL PASO,TX,79903-3197,(915) 587-2560,(915) 566-5210,hillside@episd.org,hillside.episd.org,MS CYNTHIA ANDERSON   ,'EE-05,532,Active,27941.0,2015-03-14T05:35:08,16,USCGeocoder,31,1,4.01,,533fba74-ea61-44bf-ad45-3522edde6038,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3903.46376148,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7855457725,-106.437442178,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902123,HUGHEY EL,REGULAR INSTRUCTIONAL,,6201 HUGHEY,EL PASO,TX,79925-1890,6201 HUGHEY,EL PASO,TX,79925-1890,(915) 832-6670,(915) 779-6911,hughey@episd.org,hughey.episd.org,MR ADAN LOPEZ   ,'EE-05,683,Active,27941.0,2015-03-14T05:35:08,17,USCGeocoder,31,1,4.01,,fe1b551b-e6f7-416e-b9b7-335353a1abc9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8423.5924671,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7891983578,-106.411436265,Relaxed
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902125,LAMAR EL,REGULAR INSTRUCTIONAL,,1440 E CLIFF DR,EL PASO,TX,79902-2835,1440 E CLIFF DR,EL PASO,TX,79902-2835,(915) 351-3200,(915) 534-0083,lamar@episd.org,lamar.episd.org,MS BERTHA MARTINEZ   ,'EE-05,599,Active,27941.0,2015-03-14T05:35:08,18,USCGeocoder,31,1,4.01,,ad9710e7-3829-4e4d-a6f1-81a8d6e511ad,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2166.51397822,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7767817906,-106.482840742,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902128,LOGAN EL,REGULAR INSTRUCTIONAL,,3200 ELLERTHORPE AVE,EL PASO,TX,79904-4299,3200 ELLERTHORPE AVE,EL PASO,TX,79904-4299,(915) 231-2720,(915) 566-8550,logan@episd.org,logan.episd.org,MS SUZANNE SCHWITTERS   ,'PK-05,402,Active,27941.0,2015-03-14T05:35:08,19,USCGeocoder,47,1,4.01,,c8938755-132c-4544-a208-4dbdece4aedb,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4081.98890945,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.841306024,-106.435092228,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902129,MACARTHUR EL-INT,REGULAR INSTRUCTIONAL,,8101 WHITUS DR,EL PASO,TX,79925-5099,8101 WHITUS DR,EL PASO,TX,79925-5099,(915) 587-2680,(915) 779-2281,macarthur@episd.org,macarthur.episd.org,MS IRMA PIRTLE   ,'KG-08,768,Active,27941.0,2015-03-14T05:35:08,20,USCGeocoder,63,1,4.01,,18244e01-33c5-4786-942c-ed279c5bd632,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2083.27084731,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7813384655,-106.377106965,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902130,MESITA EL,REGULAR INSTRUCTIONAL,,3307 N STANTON,EL PASO,TX,79902-2009,3307 N STANTON,EL PASO,TX,79902-2009,(915) 496-8180,(915) 534-7010,mesita@episd.org,mesita.episd.org,MS LAILA FERRIS   ,'EE-05,903,Active,27941.0,2015-03-14T05:35:08,21,USCGeocoder,16,1,4.01,,cdde31c3-92af-4915-be2d-9c2ff3fe4306,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4130.60574411,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.7829838838,-106.503228515,Relaxed
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902131,MILAM EL,REGULAR INSTRUCTIONAL,,5000 LUKE ST,EL PASO,TX,79908-3240,5000 LUKE ST,EL PASO,TX,79908-3240,(915) 587-2520,(915) 562-6448,milam@episd.org,milam.episd.org,MR ARMANDO LLANOS   ,'EE-05,591,Active,27941.0,2015-03-14T05:35:08,22,USCGeocoder,31,1,4.01,,8b5b4648-02e7-4020-84e2-4d3fe1662f4c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2587.68373472,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8221135641,-106.38697026,Relaxed
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902133,NEWMAN EL,REGULAR INSTRUCTIONAL,,10275 ALCAN DR,EL PASO,TX,79924-3499,10275 ALCAN DR,EL PASO,TX,79924-3499,(915) 587-3580,(915) 759-8306,newman@episd.org,newman.episd.org,MS ROSA V PARGA   ,'EE-05,536,Active,27941.0,2015-03-14T05:35:08,23,USCGeocoder,16,1,4.01,,37a9bcdb-7015-4b7a-b100-968bc37f4b7f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2004.21173299,LinearInterpolationAddressRange,StreetSegment,94.0828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.9099755192,-106.413004602,Relaxed
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902134,PARK EL,REGULAR INSTRUCTIONAL,,3601 EDGAR PARK AVE,EL PASO,TX,79904-2699,3601 EDGAR PARK AVE,EL PASO,TX,79904-2699,(915) 587-3540,(915) 759-8315,park@episd.org,park.episd.org,JAIME HERNANDEZ   ,'PK-05,558,Active,27941.0,2015-03-14T05:35:08,24,USCGeocoder,16,1,4.01,,7878b33b-dbf1-40d4-b6ee-020394807e3e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3096.49785744,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8562463725,-106.451320478,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902135,PUTNAM EL,REGULAR INSTRUCTIONAL,,6508 FIESTA DR,EL PASO,TX,79912-5030,6508 FIESTA DR,EL PASO,TX,79912-5030,(915) 832-6700,(915) 585-2304,putnam@episd.org,putnam.episd.org,MS CYNTHIA SANCHEZ   ,'EE-05,450,Active,27941.0,2015-03-14T05:35:08,25,USCGeocoder,0,1,4.01,,8b18cfdf-6e35-42f9-be1b-871fd34e83fb,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,46316.8513067,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8312992845,-106.537905758,Exact
'071,EL PASO COUNTY,'19,'071902,EL PASO ISD,INDEPENDENT,P O BOX 20100,EL PASO,TX,79998-0100,6531 BOEING DR,EL PASO,TX,79925.0,(915) 230-2577,(915) 230-0575,info@episd.org,www.episd.org,JUAN E CABRERA   ,60852,'071902136,ROBERTS EL,REGULAR INSTRUCTIONAL,,341 THORN DR,EL PASO,TX,79932-1598,341 THORN DR,EL PASO,TX,79932-1598,(915) 231-2660,(915) 585-2729,roberts@episd.org,roberts.episd.org,MR ROGELIO SEGOVIA   ,'EE-05,454,Active,27941.0,2015-03-14T05:35:08,26,USCGeocoder,78,1,4.01,,e164ca13-6e04-403f-96d8-5d76589176e4,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1573.90921371,LinearInterpolationAddressRange,StreetSegment,94.0828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8522046708,-106.575997833,Relaxed
