CountyNumber,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_tfry01_output_06_tf,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
061,DENTON COUNTY,11,061908,SANGER ISD,INDEPENDENT,601 ELM ST,SANGER,TX,76266-9635,601 ELM ST,SANGER,TX,76266-9635,(940) 458-7438,(940) 458-5140,kcrutsinger@sangerisd.net,www.sisd.sangerisd.net,MR KENT CRUTSINGER,2645,061908104,BUTTERFIELD EL,REGULAR INSTRUCTIONAL,,601 ELM ST,SANGER,TX,76266-9635,291 INDIAN LN,SANGER,TX,76266,(940) 458-4377,(940) 458-5591,lbeam@sangerisd.net,sisd.sangerisd.net,MR LARRY BEAM,EE-05,501,Active,2008-08-15,2015-03-14T05:35:00,235,USCGeocoder,47,1,4.01,,8332793f-de97-40bd-90a7-75e3646ecdde,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.36437,-97.156652,Exact
061,DENTON COUNTY,11,061910,ARGYLE ISD,INDEPENDENT,800 EAGLE DR,ARGYLE,TX,76226-0989,800 EAGLE DR,ARGYLE,TX,76226-0989,(940) 464-7241 ext:5,(940) 464-7297,twright@argyleisd.com,www.argyleisd.com,DR TELENA WRIGHT,2063,061910001,ARGYLE H S,REGULAR INSTRUCTIONAL,,800 EAGLE DR,ARGYLE,TX,76226-0989,191 U S HWY 377,ARGYLE,TX,76226-0989,(940) 262-7777,(940) 262-7783,jbutts@argyleisd.com,www.argyleisd.com,JEFF BUTTS,09-12,711,Active,2000-01-27,2015-03-14T05:35:00,237,USCGeocoder,63,1,4.01,,9ce3e46e-9754-4f73-89f9-c77e27880a2d,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,32.323251,-98.082399,Exact
061,DENTON COUNTY,11,061910,ARGYLE ISD,INDEPENDENT,800 EAGLE DR,ARGYLE,TX,76226-0989,800 EAGLE DR,ARGYLE,TX,76226-0989,(940) 464-7241 ext:5,(940) 464-7297,twright@argyleisd.com,www.argyleisd.com,DR TELENA WRIGHT,2063,061910041,ARGYLE MIDDLE,REGULAR INSTRUCTIONAL,,800 EAGLE DR,ARGYLE,TX,76226,191 U S HWY 377,ARGYLE,TX,76226,(940) 246-2126,(940) 246-2128,sgibson@argyleisd.com,www.argyleisd.com,MR SCOTT GIBSON,07-08,347,Active,1978-09-01,2015-03-14T05:35:00,239,USCGeocoder,78,1,4.01,,18bf030f-a58d-4c46-b1d0-afe050e3ef4a,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.10483,-97.164815,Exact
061,DENTON COUNTY,11,061910,ARGYLE ISD,INDEPENDENT,800 EAGLE DR,ARGYLE,TX,76226-0989,800 EAGLE DR,ARGYLE,TX,76226-0989,(940) 464-7241 ext:5,(940) 464-7297,twright@argyleisd.com,www.argyleisd.com,DR TELENA WRIGHT,2063,061910042,ARGYLE INT,REGULAR INSTRUCTIONAL,,800 EAGLE DR,ARGYLE,TX,76226,800 EAGLE DR,ARGYLE,TX,76226,(940) 464-5100,(940) 464-7245,rfunderburg@argyleisd.com,www.argyleisd.com,MRS RENEE FUNDERBURG,05-06,295,Active,2008-08-25,2015-03-14T05:35:00,240,USCGeocoder,31,1,4.01,,702d7327-a656-4ea0-9429-1f20230019c6,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.10483,-97.164815,Exact
061,DENTON COUNTY,11,061910,ARGYLE ISD,INDEPENDENT,800 EAGLE DR,ARGYLE,TX,76226-0989,800 EAGLE DR,ARGYLE,TX,76226-0989,(940) 464-7241 ext:5,(940) 464-7297,twright@argyleisd.com,www.argyleisd.com,DR TELENA WRIGHT,2063,061910101,HILLTOP EL,REGULAR INSTRUCTIONAL,,800 EAGLE DR,ARGYLE,TX,76226-0989,1050 HARRISON LN,ARGYLE,TX,76226-0989,(940) 464-7241,(940) 464-5120,mpels@argyleisd.com,www.argyleisd.com,MS MANDI PELS,EE-04,710,Active,1994-07-01,2015-03-14T05:35:00,241,USCGeocoder,31,1,4.01,,cc64a2a4-5e0f-40a1-842f-730aa5867c72,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.126087,-97.178367,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911001,NORTHWEST H S,REGULAR INSTRUCTIONAL,,2301 TEXAN DR,JUSTIN,TX,76247,2301 TEXAN DR,JUSTIN,TX,76247,(817) 215-0200,(817) 215-0262,jchildress@nisdtx.org,www.nisdtx.org/Domain/118,JASON CHILDRESS,09-12,2793,Active,,2015-03-14T05:35:00,242,USCGeocoder,63,1,4.01,,a0ff5752-665a-4da0-89d3-725c650a739f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.025468,-97.313422,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911005,DENTON CO J J A E P,JJAEP INSTRUCTIONAL,,18501 ST HWY 114,JUSTIN,TX,76247-8700,18501 ST HWY 114,JUSTIN,TX,76247-8700,(940) 648-2611,,,,,06-12,-1,Active,1996-08-01,2015-03-14T05:35:00,244,USCGeocoder,78,1,4.01,,59b1c9ee-96c4-44a3-ab9a-3a4aa31ead1a,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.02545,-97.313293,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911043,GENE PIKE MIDDLE,REGULAR INSTRUCTIONAL,,2200 TEXAN DR,JUSTIN,TX,76247-9709,2200 TEXAN DR,JUSTIN,TX,76247,(817) 215-0400,(817) 215-0425,cjones02@nisdtx.org,www.nisdtx.org/Domain/604,MR CHRIS JONES,06-08,743,Active,1998-05-15,2015-03-14T05:35:00,250,USCGeocoder,31,1,4.01,,4c6ebc0a-2b3f-4604-8c21-275bd1d42882,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.070947,-97.302229,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911044,CHISHOLM TRAIL MIDDLE,REGULAR INSTRUCTIONAL,,583 FM 3433,RHOME,TX,76078-0227,583 FM 3433,RHOME,TX,76078-0227,(817) 215-0600,(817) 215-0648,trogers@nisdtx.org,www.nisdtx.org/Domain/458,MR TODD ROGERS,06-08,899,Active,1998-05-15,2015-03-14T05:35:00,251,USCGeocoder,78,1,4.01,,b0a680b2-cd3e-4d0c-8f64-31ae15e2153f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.03029,-97.480942,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911045,JOHN M TIDWELL MIDDLE,REGULAR INSTRUCTIONAL,,3937 HASLET-ROANOKE RD,ROANOKE,TX,76262,3937 HASLET-ROANOKE RD,ROANOKE,TX,76262,(817) 698-5900,(817) 698-5870,kbarker@nisd.tx.org,www.nisdtx.org/tms,MS KIM BARKER,06-08,1048,Active,2010-07-08,2015-03-14T05:35:00,252,USCGeocoder,78,1,4.01,,42b858d0-270a-4f20-9e9b-7516f4aff780,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,32.980084,-97.276386,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911102,JUSTIN EL,REGULAR INSTRUCTIONAL,,425 BOSS RANGE RD,JUSTIN,TX,76247-9709,425 BOSS RANGE RD,JUSTIN,TX,76247-9709,(817) 215-0800,(817) 215-0840,lransleban@nisdtx.org,www.nisdtx.org/justin,MS LISA RANSLEBEN,EE-05,506,Active,,2015-03-14T05:35:00,255,USCGeocoder,406,1,4.01,,2424b146-2635-4bd6-a65e-a3054c3c1c6a,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.081168,-97.308079,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911107,ROANOKE EL,REGULAR INSTRUCTIONAL,,1401 LANCELOT,ROANOKE,TX,76262,1401 LANCELOT,ROANOKE,TX,76262,(817) 215-0650,(817) 491-1796,kking@nisdtx.org,www.nisdtx.org/roanoke,KRISTI KING,EE-05,731,Active,,2015-03-14T05:35:00,257,USCGeocoder,63,1,4.01,,0b9d68e9-2334-45ae-8e41-7b2d0cbdf85e,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.020179,-97.219845,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911108,SEVEN HILLS EL,REGULAR INSTRUCTIONAL,,654 FM 3433,RHOME,TX,76078-0227,654 FM 3433,RHOME,TX,76078-0227,(817) 215-0700,(817) 215-0740,mpawski@nisdtx.org,www.nisdtx.org/sevenhills,MS MICHELLE PAWSKI,EE-05,560,Active,1988-06-03,2015-03-14T05:35:00,258,USCGeocoder,141,1,4.01,,9f38c48f-cf03-42eb-8b75-5064c4c11829,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.020377,-97.219802,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911110,W R HATFIELD EL,REGULAR INSTRUCTIONAL,,2051 TEXAN DR,JUSTIN,TX,76247,2051 TEXAN DR,JUSTIN,TX,76247,(817) 215-0350,(817) 215-0369,csager@nisdtx.org,www.nisdtx.org/hatfield,MRS CATHY SAGER,EE-05,411,Active,1998-05-15,2015-03-14T05:35:00,260,USCGeocoder,31,1,4.01,,812c4fcc-a1eb-4a7b-bd0d-78efad697b8e,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.03074,-97.321533,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911111,PRAIRIE VIEW EL,REGULAR INSTRUCTIONAL,,609 FM 3433,RHOME,TX,76078-0227,609 FM 3433,RHOME,TX,76078-0227,(817) 215-0550,(817) 215-0598,ywallace@nisdtx.org,www.nisdtx.org/prairieview,MS YOLANDA WALLACE,EE-05,452,Active,1998-05-15,2015-03-14T05:35:00,261,USCGeocoder,125,1,4.01,,11592e91-8526-4335-8e6d-7623401bc9db,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.028923,-97.481006,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911113,J LYNDAL HUGHES EL,REGULAR INSTRUCTIONAL,,13824 LOST SPURS RD,ROANOKE,TX,76262,13824 LOST SPURS RD,ROANOKE,TX,76262,(817) 698-1900,(817) 698-1915,jmcdonald@nisdtx.org,www.nisdtx.org/hughes,MRS JESSICA MCDONALD,EE-05,547,Active,2005-08-03,2015-03-14T05:35:00,263,USCGeocoder,78,1,4.01,,51f28e35-3e00-4178-94b3-c2d5c9523afe,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,32.982172,-97.284797,Exact
061,DENTON COUNTY,11,061911,NORTHWEST ISD,INDEPENDENT,P O BOX 77070,FORT WORTH,TX,76177-0070,2001 TEXAN DR,JUSTIN,TX,76247,(817) 215-0000,(817) 215-0170,nisd@nisdtx.org,www.nisdtx.org,DR KAREN G RUE,19831,061911117,CLARA LOVE EL,REGULAR INSTRUCTIONAL,,16301 ELEMENTARY DR,JUSTIN,TX,76247,16301 ELEMENTARY DR,JUSTIN,TX,76247,(817) 698-6600,(817) 698-6670,jnerby@nisd.tx.org,www.nisdtx.org/love,MRS JULIE NERBY,EE-05,689,Active,2009-08-17,2015-03-14T05:35:00,267,USCGeocoder,78,1,4.01,,fdc5ffff-a43d-4d1b-ae4d-09b84eb77483,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.201799,-97.751802,Exact
