CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_te3556_output_04_te,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905129,ALLEN EL,REGULAR INSTRUCTIONAL,,5800 LEGACY DR,FRISCO,TX,75034.0,5800 LEGACY DR,FRISCO,TX,75034.0,(469) 633-3800,(469) 633-3810,wilkinst@friscoisd.org,www.friscoisd.org,MS TERESA WILKINSON   ,'KG-05,614,Active,40016.0,2015-03-14T05:35:03,11,USCGeocoder,47,1,4.01,,e6f930ce-c740-4a6b-b379-e6f57e548347,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.077752,-96.821891,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905130,SONNTAG EL,REGULAR INSTRUCTIONAL,,2001 REAGAN DR,MCKINNEY,TX,75070.0,2001 REAGAN DR,MCKINNEY,TX,75070.0,(469) 633-3850,(469) 633-3860,acostas@friscoisd.org,www.friscoisd.org,MS SHANNON ACOSTA   ,'KG-05,688,Active,40357.0,2015-03-14T05:35:03,12,USCGeocoder,78,1,4.01,,3e87310b-36ce-49cc-b4f3-21eef8099bb8,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.186805,-96.743763,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905131,PUREFOY EL,REGULAR INSTRUCTIONAL,,11880 TEEL PKWY,FRISCO,TX,75034.0,11880 TEEL PKWY,FRISCO,TX,75034.0,(469) 633-3875,(469) 633-3885,webbm@friscoisd.org,www.friscoisd.org,MS MARY WEBB   ,'KG-05,682,Active,40357.0,2015-03-14T05:35:03,13,USCGeocoder,78,1,4.01,,bf101049-3bc5-4379-90f0-3d59790b1609,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.177,-96.864635,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905132,COMSTOCK EL,REGULAR INSTRUCTIONAL,,7152 SILVERADO TRAIL,MCKINNEY,TX,75070.0,7152 SILVERADO TRAIL,MCKINNEY,TX,75070.0,(469) 633-3900,(469) 633-3910,orrp@friscoisd.org,www.friscoisd.org,PAM ORR   ,'KG-05,626,Active,41117.0,2015-03-14T05:35:03,14,USCGeocoder,63,1,4.01,,50f1d8ae-8ef5-420c-b655-79c49f55ef30,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.160062,-96.711813,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905133,PHILLIPS EL,REGULAR INSTRUCTIONAL,,2285 LITTLE RIVER DR,FRISCO,TX,75033.0,2285 LITTLE RIVER DR,FRISCO,TX,75033.0,(469) 633-6000,(469) 633-6050,solomoda@friscoisd.org,www.friscoisd.org,DANA SOLOMON   ,'KG-05,749,Active,41117.0,2015-03-14T05:35:03,15,USCGeocoder,63,1,4.01,,7ebef7b6-fdd4-48db-a7bb-e7e98f75b73a,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.197256,-96.869677,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905134,NICHOLS EL,REGULAR INSTRUCTIONAL,,7411 NICHOLS TRAIL,FRISCO,TX,75034.0,7411 NICHOLS TRAIL,FRISCO,TX,75034.0,(469) 633-3950,(469) 633-3960,wileyZ@friscoisd.org,www.friscoisd.org,MR ZACH WILEY   ,'KG-05,672,Active,41117.0,2015-03-14T05:35:03,16,USCGeocoder,47,1,4.01,,22ce4a78-4a30-4182-98e1-882380b11753,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.143119,-96.87734,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905135,EARLY CHILDHOOD SCHOOL,REGULAR INSTRUCTIONAL,,10330 RED CEDAR DR,FRISCO,TX,75035.0,10330 RED CEDAR DR,FRISCO,TX,75035.0,(469) 633-3825,(469) 633-3835,LongfelM@friscoisd.org,www.friscoisd.org,MS MELISSA LONGFELLOW   ,'EE-05,621,Active,40016.0,2015-03-14T05:35:03,17,USCGeocoder,31,1,4.01,,f954e376-f64e-4a89-84dd-5ee0bd499777,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.151152,-96.791507,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905136,NEWMAN EL,REGULAR INSTRUCTIONAL,,12333 BRIAR RIDGE RD,FRISCO,TX,75033.0,12333 BRIAR RIDGE RD,FRISCO,TX,75033.0,(469) 633-3975,(469) 633-3985,WakelanS@friscoisd.org,,MS SHERRI WAKELAND   ,'KG-05,617,Active,41810.0,2015-03-14T05:35:03,18,USCGeocoder,31,1,4.01,,a06ec55d-6c43-4d5f-9807-2668e0d95098,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.181364,-96.858154,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905137,SCOTT EL,REGULAR INSTRUCTIONAL,,10550 MILLBEND DR,MCKINNEY,TX,75070.0,10550 MILLBEND DR,MCKINNEY,TX,75070.0,(469) 633-4000,(469) 633-4010,BrewerP@friscoisd.org,,MS PAIGE BREWER   ,'KG-05,622,Active,41810.0,2015-03-14T05:35:03,19,USCGeocoder,63,1,4.01,,b93a47a3-17cc-4105-96c2-b0e066ef9fda,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.194329,-96.759835,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905138,MCSPEDDEN EL,REGULAR INSTRUCTIONAL,,14140 COUNTRYBROOK DR,FRISCO,TX,75035.0,14140 COUNTRYBROOK DR,FRISCO,TX,75035.0,(469) 633-4025,(469) 633-4035,MeekH@friscoisd.org,,MS HEATHER MEEK   ,'KG-05,516,Active,41810.0,2015-03-14T05:35:03,20,USCGeocoder,31,1,4.01,,0f3dedc7-2bd2-401e-8ce8-403a337d0d6e,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.142025,-96.754278,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905139,HOSP EL,REGULAR INSTRUCTIONAL,,5050 LONE STAR RANCH PKWY,FRISCO,TX,75034.0,5050 LONE STAR RANCH PKWY,FRISCO,TX,75034.0,(469) 633-4050,(469) 633-4060,ElseA@friscoisd.org,,MR AARON ELSE   ,'KG-05,-1,Active,41810.0,2015-03-14T05:35:03,21,USCGeocoder,31,1,4.01,,62ee4a5d-9336-4d83-bf99-14b74d74f063,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.120875,-96.88356,Exact
'043,COLLIN COUNTY,'10,'043905,FRISCO ISD,INDEPENDENT,5515 OHIO DR,FRISCO,TX,75035.0,5515 OHIO DR,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,brunsonb@friscoisd.org,www.friscoisd.org,DR JEREMY LYON   ,49644,'043905140,NORRIS EL,REGULAR INSTRUCTIONAL,,5515 OHIO DR,FRISCO,TX,75035.0,10101 SHEPTON LN,FRISCO,TX,75035.0,(469) 633-6000,(469) 633-6050,FainA@friscoisd.org,,MS ASHELYN FAIN   ,'KG-05,0,Under Construction,41919.0,2015-03-14T05:35:03,22,USCGeocoder,47,1,4.01,,d3680048-95e6-4d48-b17b-986895253aeb,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,33.161517,-96.744514,Exact
'043,COLLIN COUNTY,'10,'043907,MCKINNEY ISD,INDEPENDENT,#1 DUVALL ST,MCKINNEY,TX,75069-3211,#1 DUVALL ST,MCKINNEY,TX,75069-3211,(469) 302-4000,(469) 302-4071,rmcdaniel@mckinneyisd.net,www.mckinneyisd.net,DR RICK MCDANIEL   ,24811,'043907002,MCKINNEY H S,REGULAR INSTRUCTIONAL,,1400 W WILSON CREEK PKWY,MCKINNEY,TX,75069-5399,1400 W WILSON CREEK PKWY,MCKINNEY,TX,75069-5399,(469) 302-5700,(469) 302-5701,lfaris@mckinneyisd.net,,DR LOGAN FARIS   ,'09-12,2486,Active, ,2015-03-14T05:35:03,23,USCGeocoder,47,1,4.01,,bd3f6067-10fb-43e0-879b-5af7695833f9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,748.478270969,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.1860471951,-96.6264234431,Relaxed
'043,COLLIN COUNTY,'10,'043907,MCKINNEY ISD,INDEPENDENT,#1 DUVALL ST,MCKINNEY,TX,75069-3211,#1 DUVALL ST,MCKINNEY,TX,75069-3211,(469) 302-4000,(469) 302-4071,rmcdaniel@mckinneyisd.net,www.mckinneyisd.net,DR RICK MCDANIEL   ,24811,'043907004,MCKINNEY NORTH H S,REGULAR INSTRUCTIONAL,,2550 WILMETH RD,MCKINNEY,TX,75070.0,2550 WILMETH RD,MCKINNEY,TX,75070.0,(469) 302-4300,(469) 302-4301,jspann@mckinneyisd.net,,JIMMY SPANN   ,'09-12,2089,Active,35612.0,2015-03-14T05:35:03,24,USCGeocoder,31,1,4.01,,819186c1-3c06-4f7e-805b-a8705d3bdee8,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,13869.6214824,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.230711066,-96.6437629754,Relaxed
'043,COLLIN COUNTY,'10,'043907,MCKINNEY ISD,INDEPENDENT,#1 DUVALL ST,MCKINNEY,TX,75069-3211,#1 DUVALL ST,MCKINNEY,TX,75069-3211,(469) 302-4000,(469) 302-4071,rmcdaniel@mckinneyisd.net,www.mckinneyisd.net,DR RICK MCDANIEL   ,24811,'043907005,SERENITY HIGH,ALTERNATIVE INSTRUCTIONAL,,2100 WHITE AVE,MCKINNEY,TX,75069.0,2100 WHITE AVE,MCKINNEY,TX,75069.0,(469) 302-7830,(469) 302-7831,jferraro@mckinneyisd.net,,JULI FERRARO   ,'09-12,6,Active,36404.0,2015-03-14T05:35:03,25,USCGeocoder,31,1,4.01,,00d6ac95-f4db-4f00-a32d-22397d110b72,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5553.16578069,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.2098538669,-96.6353697231,Exact
