CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_SebasAHerrera_output_08_sh,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906006,WOODROW WILSON DAEP,DAEP INSTRUCTIONAL,,300 14TH AVE N,TEXAS CITY,TX,77590,300 14TH AVE N,TEXAS CITY,TX,77590,(409) 916-0285,(409) 942-2462,cpowada@tcisd.org,www.tcisd.org,MRS CAYE POWADA   ,'01-12,49,Active,2003-06-26,2015-03-14T05:35:10,11,USCGeocoder,109,1,4.01,,606c3a01-1d20-4839-b384-9a1cdec00ae4,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3274.22434256,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3983591822,-94.8980901161,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906010,TEXAS CITY J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 1150,TEXAS CITY,TX,77592-1150,1401 9TH AVE N,TEXAS CITY,TX,77590-5495, , ,,,    ,'05-12,0,Active,1997-05-01,2015-03-14T05:35:10,12,USCGeocoder,16,1,4.01,,fbc5d199-9453-42bf-9994-911873b16705,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3049.22011265,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3932207333,-94.9147954759,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906014,COASTAL ALTERNATIVE PROGRAM (CAP),DAEP INSTRUCTIONAL,,13302 HWY 6,SANTA FE,TX,77510,300 14TH AVE N,TEXAS CITY,TX,77590, , ,Lcampbell@tcisd.org,,    ,'06-12,6,Active,2013-04-08,2015-03-14T05:35:10,13,USCGeocoder,78,1,4.01,,3ac9d117-3a8b-4940-8914-711777041de8,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3274.22434256,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3983591822,-94.8980901161,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906041,BLOCKER MIDDLE,REGULAR INSTRUCTIONAL,,500 14TH AVE N,TEXAS CITY,TX,77590-6200,500 14TH AVE N,TEXAS CITY,TX,77591-6200,(409) 916-0700,(409) 942-2755,jsouthworth@tcisd.org,www.tcisd.org/index.aspx?nid=149,MS JULIE SOUTHWORTH   ,'07-08,911,Active, ,2015-03-14T05:35:10,14,USCGeocoder,109,1,4.01,,a0a7c3f6-f7a2-4da1-acd2-5e5dc5f4fc56,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.399576,-94.901653,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906101,FRY INT,REGULAR INSTRUCTIONAL,,300 TWENTY FIFTH AVE N,TEXAS CITY,TX,77590-5432,300 TWENTY FIFTH AVE N,TEXAS CITY,TX,77591-5432,(409) 916-0600,(409) 916-0696,tfurman@tcisd.org,www.tcisd.org,MR ANTHONY FURMAN   ,'05-06,929,Active,1985-09-01,2015-03-14T05:35:10,15,USCGeocoder,63,1,4.01,,36b93f60-488c-4344-9cf8-5f340d2c972f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.409901,-94.897228,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906102,HEIGHTS EL,REGULAR INSTRUCTIONAL,,300 N LOGAN ST,TEXAS CITY,TX,77590-7065,300 N LOGAN ST,TEXAS CITY,TX,77591-7065,(409) 916-0501,(409) 942-2450,njackson@tcisd.org,www.tcisd.org,MR NATHAN JACKSON   ,'EE-04,557,Active, ,2015-03-14T05:35:10,16,USCGeocoder,31,1,4.01,,76b89276-c3eb-4691-a891-6d7359e27457,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual ,,,0,29.387724,-94.987485,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906103,KOHFELDT EL,REGULAR INSTRUCTIONAL,,1705 13TH AVE N,TEXAS CITY,TX,77590-5439,1705 13TH AVE N,TEXAS CITY,TX,77591-5439,(409) 916-0400,(409) 916-0496,dpeterson@tcisd.org,www.tcisd.org,MS DONNA PETERSON   ,'KG-04,564,Active, ,2015-03-14T05:35:10,17,USCGeocoder,94,1,4.01,,2d56f38a-a068-48b3-a6a2-8eea9d4e1c51,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.396484,-94.987485,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906104,NORTHSIDE EL,REGULAR INSTRUCTIONAL,,2300 21ST ST N,TEXAS CITY,TX,77590-5299,2300 21ST ST N,TEXAS CITY,TX,77591-5299,(409) 916-0300,(409) 942-2839,aanderson@tcisd.org,www.tcisd.org,MS ANNE ANDERSON   ,'KG-04,580,Active, ,2015-03-14T05:35:10,18,USCGeocoder,63,1,4.01,,58ee6ef2-b056-44ea-8f69-a03ec44f4854,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.406784,-94.924321,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906105,ROOSEVELT-WILSON EL,REGULAR INSTRUCTIONAL,,301 16TH AVE N,TEXAS CITY,TX,77590-6232,301 16TH AVE N,TEXAS CITY,TX,77591-6232,(409) 916-0200,(409) 942-2871,jhigh@tcisd.org,www.tcisd.org,MR JEFFREY HIGH   ,'KG-04,656,Active, ,2015-03-14T05:35:10,19,USCGeocoder,63,1,4.01,,9bb6c42b-6961-48af-afe3-67b61e0eef39,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual ,,,0,29.399871,-94.898658,Exact
'084,GALVESTON COUNTY,'04,'084906,TEXAS CITY ISD,INDEPENDENT,P O BOX 1150,TEXAS CITY,TX,77592-1150,1700 9TH AVE N,TEXAS CITY,TX,77590-5495,(409) 916-0100,(409) 942-2655,clusignolo@tcisd.org,www.tcisd.org,DR CYNTHIA LUSIGNOLO   ,6347,'084906109,CALVIN VINCENT PRE-K HEAD START,REGULAR INSTRUCTIONAL,,1805 13TH AVE N,TEXAS CITY,TX,77590,1805 13TH AVE N,TEXAS CITY,TX,77590,(409) 916-0512,(409) 916-0596,swilson@tcisd.org,,MRS SUSAN WILSON   ,'EE-PK,227,Active,2013-05-31,2015-03-14T05:35:10,20,USCGeocoder,125,1,4.01,,91605aac-af17-4999-9589-f8e8be6804b6,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6234.70410618,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3970581975,-94.9211432037,Exact
'084,GALVESTON COUNTY,'04,'084908,HITCHCOCK ISD,INDEPENDENT,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,(409) 316-6545 ext:1501,(409) 986-5141,lleuschen@hitchcockisd.org,www.hitchcockisd.org,CARLA VICKROY   ,1637,'084908001,HITCHCOCK H S,REGULAR INSTRUCTIONAL,,6629 FM 2004,HITCHCOCK,TX,77563-3049,6629 FM 2004,HITCHCOCK,TX,77563-3049,(409) 316-6544,(409) 986-9339,eguerra@hitchcockisd.org,www.hitchcockisd.org,MS EVANGELINA GUERRA   ,'09-12,344,Active, ,2015-03-14T05:35:10,21,USCGeocoder,63,1,4.01,,b6595ec4-b1f4-4362-865d-06b454fd0464,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,9095.24195002,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3478611207,-95.0324664855,Exact
'084,GALVESTON COUNTY,'04,'084908,HITCHCOCK ISD,INDEPENDENT,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,(409) 316-6545 ext:1501,(409) 986-5141,lleuschen@hitchcockisd.org,www.hitchcockisd.org,CARLA VICKROY   ,1637,'084908003,GALVESTON CO J J A E P,JJAEP INSTRUCTIONAL,,8117 HWY 6,HITCHCOCK,TX,77563-1796,8117 HWY 6,HITCHCOCK,TX,77563-1796,(409) 986-5514 ext:22  ,(409) 986-5141,jdonovan@hitchcockisd.org,www.hitchcockisd.org,    ,'05-12,0,Active,1996-08-01,2015-03-14T05:35:10,22,USCGeocoder,16,1,4.01,,254beeb7-6e89-4951-83af-a1706a653181,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1589.82636744,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3496319148,-95.0206534304,Exact
'084,GALVESTON COUNTY,'04,'084908,HITCHCOCK ISD,INDEPENDENT,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,(409) 316-6545 ext:1501,(409) 986-5141,lleuschen@hitchcockisd.org,www.hitchcockisd.org,CARLA VICKROY   ,1637,'084908042,CROSBY MIDDLE,REGULAR INSTRUCTIONAL,,6625 FM 2004,HITCHCOCK,TX,77563-3218,6625 FM 2004,HITCHCOCK,TX,77563-3218,(409) 316-6542,(409) 986-9254,lallen@hitchcockisd.org,www.hitchcockisd.org,MR LARRY ALLEN   ,'07-08,192,Active, ,2015-03-14T05:35:10,23,USCGeocoder,78,1,4.01,,f7d3b567-7817-4af6-8997-6c387e7bddf6,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,9095.24195002,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3477759294,-95.0324992428,Exact
'084,GALVESTON COUNTY,'04,'084908,HITCHCOCK ISD,INDEPENDENT,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,7801 NEVILLE AVENUE BUILDING B,HITCHCOCK,TX,77563-1796,(409) 316-6545 ext:1501,(409) 986-5141,lleuschen@hitchcockisd.org,www.hitchcockisd.org,CARLA VICKROY   ,1637,'084908103,STEWART EL,REGULAR INSTRUCTIONAL,,7013 STEWART,HITCHCOCK,TX,77563-3356,7013 STEWART,HITCHCOCK,TX,77563-3356,(409) 316-6543,(409) 986-5563,dline@hitchcockisd.org,www.hitchcockisd.org,DONETTE LINE   ,'04-06,290,Active, ,2015-03-14T05:35:10,24,USCGeocoder,31,1,4.01,,93808507-0a23-41ab-b9b8-8c96476b3b25,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2797.83171771,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.3477559868,-95.023092894,Relaxed
