CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_Phillip_Tracy_output_15_pt,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901107,CRESTVIEW EL,REGULAR INSTRUCTIONAL,,80 HUNSLEY RD,CANYON,TX,79015-1742,80 HUNSLEY RD,CANYON,TX,79015-1742,(806) 677-2780,(806) 677-2799,swilleford@canyonisd.net,www.canyonisd.net,MS SHELLY WILLEFORD   ,'EE-04,521,Active,1995-07-01,2015-03-14T05:35:23,11,USCGeocoder,31,1,4.01,,f02ea70b-9785-452c-99b3-e41e0d37ebb4,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,39310.4564686,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.9986603497,-101.928941636,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901108,REEVES-HINGER EL,REGULAR INSTRUCTIONAL,,1005 21ST ST,CANYON,TX,79015-5333,1005 21ST ST,CANYON,TX,79015-5333,(806) 677-2870,(806) 677-2889,bparker@canyonisd.net,www.canyonisd.net,MS BRANDI PARKER   ,'EE-04,699,Active,1995-07-01,2015-03-14T05:35:23,12,USCGeocoder,31,1,4.01,,1670092c-e2a4-475b-b144-7cd27e44db38,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,75081.0281063,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.9725826721,-101.921595144,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901110,GREENWAYS INTERMEDIATE,REGULAR INSTRUCTIONAL,,8100 PINERIDGE,AMARILLO,TX,79119,8100 PINERIDGE,AMARILLO,TX,79119,(806) 677-2460,(806) 677-2499,swest@canyonisd.net,www.canyonisd.net,MR STEVE WEST   ,'05-06,902,Active,2002-05-01,2015-03-14T05:35:23,13,USCGeocoder,31,1,4.01,,098c860a-993d-458f-bb90-6513878466ac,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,64289.0983615,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,35.1455512129,-101.930434898,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901111,CANYON INT,REGULAR INSTRUCTIONAL,,506 8TH ST,CANYON,TX,79015-0899,506 8TH ST,CANYON,TX,79015,(806) 677-2800,(806) 677-2829,paulk@canyonisd.net,www.canyonisd.net,MR PAUL KIMBROUGH   ,'05-06,597,Active,2004-06-16,2015-03-14T05:35:23,14,USCGeocoder,47,1,4.01,,2a102b86-4922-48ec-aabc-a3ed71fdf550,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,25666.3350732,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.9785274406,-101.938101134,Relaxed
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901112,CITY VIEW EL,REGULAR INSTRUCTIONAL,,3400 KNOLL,AMARILLO,TX,79118,3400 KNOLL,AMARILLO,TX,79118,(806) 677-2500,(806) 677-2519,aburgoon@canyonisd.net,www.canyonisd.net,MR ANDREW BURGOON   ,'EE-04,533,Active,2009-08-20,2015-03-14T05:35:23,15,USCGeocoder,31,1,4.01,,c2c9ea68-083b-4566-887b-10bd8fa9dc8e,9,AddressZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,35.128965,-101.8744,Exact
'191,RANDALL COUNTY,'16,'191901,CANYON ISD,INDEPENDENT,P O BOX 899,CANYON,TX,79015-0899,3301 N 23RD ST,CANYON,TX,79015-0899,(806) 677-2600,(806) 677-2659,lisa@canyonisd.net,www.canyonisd.net,MICHAEL L WARTES   ,9419,'191901113,HILLSIDE EL,REGULAR INSTRUCTIONAL,,9600 PERRY AVE,CANYON,TX,79119-9600,9600 PERRY AVE,AMARILLO,TX,79119-9600,(806) 677-2520,(806) 677-2539,aduggan@canyonisd.net,www.canyonisd.net,MS AMY DUGGAN   ,'EE-04,366,Active,2009-08-20,2015-03-14T05:35:23,16,USCGeocoder,63,1,4.01,,d727b199-5ed1-480e-8268-e24f9cfafc6d,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,35.136984,-101.949717,Exact
'192,REAGAN COUNTY,'18,'192901,REAGAN COUNTY ISD,INDEPENDENT,1111 E TWELFTH ST,BIG LAKE,TX,76932-3513,1111 E TWELFTH ST,BIG LAKE,TX,76932-3513,(325) 884-3705,(325) 884-3021,steve.long@reagancountyisd.net,www.reagancountyisd.net/,STEVE LONG   ,888,'192901001,REAGAN COUNTY H S,REGULAR INSTRUCTIONAL,,1111 TWELFTH ST,BIG LAKE,TX,76932-3513,1111 TWELFTH ST,BIG LAKE,TX,76932-3513,(325) 884-3714,(325) 884-5759,kara.garlitz@reagancountyisd.net,rcisd.esc18.net,KARA SUE GARLITZ   ,'09-12,245,Active, ,2015-03-14T05:35:23,17,USCGeocoder,47,1,4.01,,a41cd7c4-a93a-4c56-84c8-66bbfa6e0169,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.203203,-101.452113,Exact
'192,REAGAN COUNTY,'18,'192901,REAGAN COUNTY ISD,INDEPENDENT,1111 E TWELFTH ST,BIG LAKE,TX,76932-3513,1111 E TWELFTH ST,BIG LAKE,TX,76932-3513,(325) 884-3705,(325) 884-3021,steve.long@reagancountyisd.net,www.reagancountyisd.net/,STEVE LONG   ,888,'192901041,REAGAN COUNTY MIDDLE,REGULAR INSTRUCTIONAL,,500 N PENNSYLVANIA AVE,BIG LAKE,TX,76932-3513,500 N PENNSYLVANIA AVE,BIG LAKE,TX,76932-3513,(325) 884-3728,(325) 884-2327,david.kohutek@reagancountyisd.net,rcisd.esc18.net,MR DAVID KOHUTEK   ,'06-08,193,Active, ,2015-03-14T05:35:23,18,USCGeocoder,78,1,4.01,,6b34885c-ef4a-4b8c-9093-4b5f884cde79,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2545.73780069,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.1943895701,-101.458143672,Exact
'192,REAGAN COUNTY,'18,'192901,REAGAN COUNTY ISD,INDEPENDENT,1111 E TWELFTH ST,BIG LAKE,TX,76932-3513,1111 E TWELFTH ST,BIG LAKE,TX,76932-3513,(325) 884-3705,(325) 884-3021,steve.long@reagancountyisd.net,www.reagancountyisd.net/,STEVE LONG   ,888,'192901101,REAGAN COUNTY EL,REGULAR INSTRUCTIONAL,,501 N TEXAS ST,BIG LAKE,TX,76932-3513,501 N TEXAS AVE,BIG LAKE,TX,76932-3513,(325) 884-3705 ext:464 ,(325) 884-2194,mandy.traylor@reagancountyisd.net,rcisd.esc18.net,MRS AMANDA TRAYLOR   ,'EE-05,450,Active, ,2015-03-14T05:35:23,19,USCGeocoder,31,1,4.01,,601066ce-9f10-48cf-b28f-746475d40040,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2545.66397154,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.1945367453,-101.46305589,Exact
'193,REAL COUNTY,'20,'193801,BIG SPRINGS CHARTER SCHOOL,CHARTER,P O BOX 399,LEAKEY,TX,78873,10664 N US HWY 83,LEAKY,TX,78873,(830) 232-7101,(830) 232-4279,BSSUPER@HCTC.NET,www.bigspringscharterschool.com,MICHAEL B WOOD   ,232,'193801001,BIG SPRINGS CHARTER SCHOOL,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 399,LEAKEY,TX,78873,HCR 01 BOX 152A,LEAKEY,TX,78873,(830) 232-7101,(830) 232-4279,ahernandez@bigspringscharterschool.com,,MR ALBERT HERNANDEZ   ,'KG-12,139,Active,2001-03-15,2015-03-14T05:35:23,20,USCGeocoder,31,1,4.01,,3c5cd307-2273-4917-9e88-a7486b3bf6ef,9,AddressZIPCentroid,Success,LOCATION_TYPE_USPS_ZIP_CODE,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,29.850769,-99.672196,Exact
'193,REAL COUNTY,'20,'193801,BIG SPRINGS CHARTER SCHOOL,CHARTER,P O BOX 399,LEAKEY,TX,78873,10664 N US HWY 83,LEAKY,TX,78873,(830) 232-7101,(830) 232-4279,BSSUPER@HCTC.NET,www.bigspringscharterschool.com,MICHAEL B WOOD   ,232,'193801101,HILL COUNTRY YOUTH RANCH,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,P O BOX 609,LEAKEY,TX,78873,3484 HWY 27 W,INGRAM,TX,78025,(830) 367-6100,(830) 367-2611,mdelacruz@bigspringscharterschools.com,,MARIA DE LA CRUZ   ,'KG-12,93,Active,2005-08-11,2015-03-14T05:35:23,21,USCGeocoder,63,1,4.01,,28f6ef23-e500-466a-b500-0f38d5700bcf,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3789.79917907,LinearInterpolationAddressRange,StreetSegment,93.6390532544,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.0856333679,-99.247104246,Relaxed
'193,REAL COUNTY,'20,'193902,LEAKEY ISD,INDEPENDENT,P O BOX 1129,LEAKEY,TX,78873-1129,429 HWY 83 N,LEAKEY,TX,78873-1129,(830) 232-6122 ext:2104,(830) 232-5535,bskipper@leakeyisd.net,www.leakeyisd.net,DR BARBARA SKIPPER   ,237,'193902001,LEAKEY SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 1129,LEAKEY,TX,78873-1129,429 HWY 83 N,LEAKEY,TX,78873-1129,(830) 232-5595,(830) 232-5535,lwaligura@leakeyisd.net,www.leakeyisd.org,KAY KEEN   ,'EE KG-12,237,Active, ,2015-03-14T05:35:23,22,USCGeocoder,47,1,4.01,,a41df5e5-5289-45e9-99a0-f3dcb4d54926,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3471.76455247,LinearInterpolationAddressRange,StreetSegment,94.674556213,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.7234880762,-99.763374863,Relaxed
'194,RED RIVER COUNTY,'08,'194902,AVERY ISD,INDEPENDENT,150 SAN ANTONIO ST,AVERY,TX,75554,150 SAN ANTONIO ST,AVERY,TX,75554,(903) 684-3460 ext:121 ,(903) 684-3294,kelly.burns@averyisd.net,www.averyisd.net,MRS KELLY BURNS   ,366,'194902001,AVERY H S,REGULAR INSTRUCTIONAL,,150 SAN ANTONIO ST,AVERY,TX,75554,150 SAN ANTONIO ST,AVERY,TX,75554,(903) 684-3431 ext:400 ,(903) 684-3294,daniel.pritchett@averyisd.net,www.averyisd.net,MR DANIEL PRITCHETT   ,'09-12,120,Active, ,2015-03-14T05:35:23,23,USCGeocoder,16,1,4.01,,9c197a32-a267-4e41-bbe0-1d32e8b27e6e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4401.6832418,LinearInterpolationAddressRange,StreetSegment,94.0828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.5516678597,-94.785461114,Relaxed
'194,RED RIVER COUNTY,'08,'194902,AVERY ISD,INDEPENDENT,150 SAN ANTONIO ST,AVERY,TX,75554,150 SAN ANTONIO ST,AVERY,TX,75554,(903) 684-3460 ext:121 ,(903) 684-3294,kelly.burns@averyisd.net,www.averyisd.net,MRS KELLY BURNS   ,366,'194902041,AVERY MIDDLE,REGULAR INSTRUCTIONAL,,150 SAN ANTONIO ST,AVERY,TX,75554,150 SAN ANTONIO ST,AVERY,TX,75554,(903) 684-3079,(903) 684-3294,rhonda.jeans@averyisd.net,www.averyisd.net,MRS RHONDA JEANS   ,'05-08,99,Active,1995-07-01,2015-03-14T05:35:23,24,USCGeocoder,16,1,4.01,,80eafc52-4781-4b59-82ed-29a0296f014f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4401.6832418,LinearInterpolationAddressRange,StreetSegment,94.0828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.5516678597,-94.785461114,Relaxed
'194,RED RIVER COUNTY,'08,'194902,AVERY ISD,INDEPENDENT,150 SAN ANTONIO ST,AVERY,TX,75554,150 SAN ANTONIO ST,AVERY,TX,75554,(903) 684-3460 ext:121 ,(903) 684-3294,kelly.burns@averyisd.net,www.averyisd.net,MRS KELLY BURNS   ,366,'194902101,AVERY EL,REGULAR INSTRUCTIONAL,,150 SAN ANTONIO ST,AVERY,TX,75554,150 SAN ANTONIO ST,AVERY,TX,75554,(903) 684-3116 ext:201 ,(903) 684-3294,rhonda.jeans@averyisd.net,www.averyisd.net,MRS RHONDA JEANS   ,'EE-04,147,Active, ,2015-03-14T05:35:23,25,USCGeocoder,16,1,4.01,,7d687954-11ab-4521-b6ad-f7a64e380032,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4401.6832418,LinearInterpolationAddressRange,StreetSegment,94.0828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.5516678597,-94.785461114,Relaxed
