CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_laurenflorence_output_05_lf,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904108,LAKERIDGE EL,REGULAR INSTRUCTIONAL,,1020 LAKERIDGE PKWY,CEDAR HILL,TX,75104.0,1020 LAKERIDGE PWKY,CEDAR HILL,TX,75104.0,(972) 293-4501,(972) 291-5210,winnifred.goodman@chisd.net,www.chisd.com/schools/lakeridge,MRS WINNIFRED GOODMAN   ,'EE-05,397,Active,37330.0,2015-03-14T05:35:04,11,USCGeocoder,47,1,4.01,,d3f7febf-7d07-41c0-a5c9-945fac864d2e,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,32.569067,-97.005363,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904109,JOE WILSON INT,REGULAR INSTRUCTIONAL,,975 PICKARD DR,CEDAR HILL,TX,75104.0,975 PICKARD DR,CEDAR HILL,TX,75104.0,(972) 291-4502,(972) 291-5213,tashara.tuck@chisd.net,www.chisd.com/schools/joewilson,MS TASHARA TUCK   ,'05-06,523,Active,37330.0,2015-03-14T05:35:04,12,USCGeocoder,63,1,4.01,,84f42182-7aa5-474e-8db8-3fbb0805bfee,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,32.571888,-96.927289,Exact
'057,DALLAS COUNTY,'10,'057904,CEDAR HILL ISD,INDEPENDENT,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,285 UPTOWN BLVD #300,CEDAR HILL,TX,75104.0,(972) 291-1581,(972) 291-5231,orlando.riddick@chisd.net,www.chisd.net,ORLANDO RIDDICK   ,7883,'057904110,CEDAR HILL COLLEGIATE PREP,REGULAR INSTRUCTIONAL,,285 UPTOWN BLVD,CEDAR HILL,TX,75104.0,975 PICKARD DR,CEDAR HILL,TX,75104.0, , ,orlando.riddick@chisd.net,,    ,'PK-05,0,Under Construction,42009.0,2015-03-14T05:35:04,13,USCGeocoder,31,1,4.01,,e091f0ef-f13a-41aa-be62-ff7c3131af58,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,32.594841,-96.974281,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905001,BRYAN ADAMS H S,REGULAR INSTRUCTIONAL,,2101 MILLMAR DR,DALLAS,TX,75228-3399,2101 MILLMAR DR,DALLAS,TX,75228-3399,(972) 502-4900,(972) 502-4901,RKASTL@dallasisd.org,www.dallasisd.org/Page/23035,RICHARD JOSEPH KASTL   ,'09-12,1939,Active,36526.0,2015-03-14T05:35:04,14,USCGeocoder,63,1,4.01,,d901026b-0039-4372-ae85-ae3d2fd4a554,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,32.827132,-96.680891,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905002,W H ADAMSON H S,REGULAR INSTRUCTIONAL,,201 E NINTH ST,DALLAS,TX,75203-2298,201 E NINTH ST,DALLAS,TX,75203-2298,(972) 749-1400,(972) 749-1401,JAORTEGA@dallasisd.org,www.dallasisd.org/adamson,JANIE ORTEGA   ,'09-12,1441,Active, ,2015-03-14T05:35:04,15,USCGeocoder,109,1,4.01,,a8e64c18-0cc1-4c2a-af30-3828bc663105,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3073.67743391,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.746944841,-96.8220289523,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905003,A MACEO SMITH NEW TECH H S,REGULAR INSTRUCTIONAL,,3030 STAG RD,DALLAS,TX,75241-1617,3030 STAG RD,DALLAS,TX,75241-1617,(214) 932-7600,(214) 932-7601,ldeveaux@dallasisd.org,www.dallasisd.org/newtech,LISA L DEVEAUX   ,'09-12,435,Active, ,2015-03-14T05:35:04,16,USCGeocoder,47,1,4.01,,350536b3-d49a-4a5b-abe9-b13a06dd31e5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,21912.5005259,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.6925232714,-96.7678271688,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905005,MOISES E MOLINA H S,REGULAR INSTRUCTIONAL,,2355 DUNCANVILLE RD,DALLAS,TX,75211-6532,2355 DUNCANVILLE RD,DALLAS,TX,75211-6532,(972) 502-1000,(972) 502-1001,mramirez@dallasisd.org,www.dallasisd.org/molina,MARK A RAMIREZ   ,'09-12,2099,Active,31291.0,2015-03-14T05:35:04,17,USCGeocoder,16,1,4.01,,d495b802-2e24-4f82-abe5-0dd03d363ed5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12233.4660397,LinearInterpolationAddressRange,StreetSegment,92.0118343195,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7206782753,-96.9088491493,Relaxed
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905006,HILLCREST H S,REGULAR INSTRUCTIONAL,,9924 HILLCREST RD,DALLAS,TX,75230-5309,9924 HILLCREST RD,DALLAS,TX,75230-5309,(972) 502-6800,(972) 502-6801,rojones@dallasisd.org,www.dallasisd.org/hillcrest,RONALD K JONES   ,'09-12,1247,Active, ,2015-03-14T05:35:04,18,USCGeocoder,16,1,4.01,,70648967-5218-4018-a9b8-e23448dac643,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2545.29290658,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.8824513039,-96.7865745524,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905007,THOMAS JEFFERSON H S,REGULAR INSTRUCTIONAL,,4001 WALNUT HILL LN,DALLAS,TX,75229-6239,4001 WALNUT HILL LN,DALLAS,TX,75229-6239,(972) 502-7300,(972) 502-7301,SAMASSEY@dallasisd.org,Www.dallasisd.org/tjefferson,SANDI MASSEY   ,'09-12,1719,Active, ,2015-03-14T05:35:04,19,USCGeocoder,31,1,4.01,,56a3becf-6a96-4561-a6fa-d49e9816544f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2853.50033024,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.8803891697,-96.8463018704,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905008,JUSTIN F KIMBALL H S,REGULAR INSTRUCTIONAL,,3606 S WESTMORELAND RD,DALLAS,TX,75233-3016,3606 S WESTMORELAND RD,DALLAS,TX,75233-3016,(972) 502-2100,(972) 502-2101,eajones@dallasisd.org,www.dallasisd.org/kimball,EARL A JONES   ,'09-12,1442,Active, ,2015-03-14T05:35:04,20,USCGeocoder,16,1,4.01,,38433bf9-0bbe-4644-bb09-a90b5f0f3b60,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1011.92688708,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7015777503,-96.8779293226,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,REGULAR INSTRUCTIONAL,,2826 HATCHER ST,DALLAS,TX,75215-4797,2826 HATCHER ST,DALLAS,TX,75215-4797,(972) 925-7600,(972) 925-7601,lswann@dallasisd.org,,CHANEL HOWARD-VEAZY   ,'09-12,526,Active, ,2015-03-14T05:35:04,21,USCGeocoder,31,1,4.01,,103b0d97-b2fd-48f3-82bc-d65078bb8853,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3094.65000885,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7560742376,-96.7526195694,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905011,LEARNING ALTERNATIVE CENTER FOR EMPOWERING YOUTH,DAEP INSTRUCTIONAL,,4949 VILLAGE FAIR,DALLAS,TX,75224.0,4949 VILLAGE FAIR,DALLAS,TX,75224.0,(972) 925-7060,(972) 376-5317,gdupree@dallasisd.org,,GAIL DUPREE   ,'06-08,144,Active,34151.0,2015-03-14T05:35:05,22,USCGeocoder,47,1,4.01,,8d25ca3c-9357-4a6e-9cb6-8b071c158cdc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4881.9773388,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.6896373234,-96.8281247232,Relaxed
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905012,L G PINKSTON H S,REGULAR INSTRUCTIONAL,,2200 DENNISON ST,DALLAS,TX,75212-2499,2200 DENNISON ST,DALLAS,TX,75212-2499,(972) 502-2700,(972) 502-2701,DWSIMMONS@dallasisd.org,www.dallasisd.org/pinkston,DWAIN J SIMMONS   ,'09-12,999,Active, ,2015-03-14T05:35:05,23,USCGeocoder,188,1,4.01,,918a8426-9016-468f-a331-3350a0d398e5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3156.10980702,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7820648453,-96.8581291682,Exact
'057,DALLAS COUNTY,'10,'057905,DALLAS ISD,INDEPENDENT,3700 ROSS AVE,DALLAS,TX,75204-5491,3700 ROSS AVE,DALLAS,TX,75204-5491,(972) 925-3700, ,arodriguez@dallasisd.org,www.dallasisd.org,MIKE MILES   ,160253,'057905013,FRANKLIN D ROOSEVELT H S,REGULAR INSTRUCTIONAL,,525 BONNIE VIEW RD,DALLAS,TX,75203-3599,525 BONNIE VIEW RD,DALLAS,TX,75203-3599,(972) 925-6800,(972) 925-6801,BDEVEAUX@DALLASISD.ORG,www.dallasisd.org/roosevelt,BRIAN K DE VEAUX   ,'09-12,599,Active, ,2015-03-14T05:35:05,24,USCGeocoder,63,1,4.01,,ca51d85c-5e87-4b9e-a3e7-b4ac13895f5a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2672.94493201,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.7421352158,-96.7944793541,Exact
