CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_cmcdonald_output_18_cm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903079,WHEELER STATE JAIL,REGULAR INSTRUCTIONAL,,986 COUNTY RD AA,PLAINVIEW,TX,79072-9999,986 COUNTY RD AA,PLAINVIEW,TX,79072-9999,(806) 293-1081,(806) 293-3852,mark.owen@wsdtx.org,www.wsdtx.org,DEAN THOMPSON   ,'UG,0,Active,1995-03-01,2015-03-14T05:35:28,11,USCGeocoder,16,1,4.01,,e10834e3-f64d-42ae-8098-021e764e4c87,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5565.30107693,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1841154807,-101.643802022,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903080,RUDD (SATF),REGULAR INSTRUCTIONAL,,2004 LAMESA HWY,BROWNFIELD,TX,79316-9599,2004 LAMESA HWY,BROWNFIELD,TX,79316-9599,(806) 637-4470,(806) 637-0077,jerry.thompson@wsdtx.org,www.wsdtx.org,GLEN HARLAN   ,'UG,0,Active,1995-03-01,2015-03-14T05:35:28,12,USCGeocoder,16,1,4.01,,8261b9f9-7898-431c-8d9a-14f24bc9e4b4,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,17649.7533743,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.1525544117,-102.28204994,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903081,HENLEY STATE JAIL,REGULAR INSTRUCTIONAL,,7581 HWY 321,DAYTON,TX,77535-9943,7581 HWY 321,DAYTON,TX,77535-9943,(936) 258-2476,(936) 257-0270,lamar.iverson@wsdtx.org,www.wsdtx.org,LAMAR IVERSON   ,'UG,0,Active, ,2015-03-14T05:35:28,13,USCGeocoder,94,1,4.01,,0b0ab0a0-cec8-4ee5-8add-f359ad54a972,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.105113,-94.928962,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903082,GOODMAN (SATF),REGULAR INSTRUCTIONAL,,349 PRIVATE RD 8430,JASPER,TX,75951-0273,349 PRIVATE RD 8430,JASPER,TX,75951-0273,(409) 383-0012,(409) 383-0355,regina.gulley@wsdtx.org,www.wsdtx.org,BRIAN HENDERSON   ,'UG,0,Active,1995-07-01,2015-03-14T05:35:28,14,USCGeocoder,31,1,4.01,,9a801ccd-8ba6-4f96-a651-9d715aef5758,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.91456,-93.94564,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903083,HALBERT UNIT,REGULAR INSTRUCTIONAL,,800 ELLEN HALBERT DR,BURNET,TX,78611-0923,800 ELLEN HALBERT DR,BURNET,TX,78611-0923,(512) 756-6171,(512) 715-9200,superintendent@wsdtx.org,www.wsdtx.org,    ,'UG,0,Active,1995-03-01,2015-03-14T05:35:28,15,USCGeocoder,47,1,4.01,,1cd5dbc5-2af4-45b1-924f-1d482e478f1e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8542.68386111,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.743541419,-98.242452447,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903084,MOORE UNIT,REGULAR INSTRUCTIONAL,,1700 N FM 87,BONHAM,TX,75418-5818,1700 N FM 87,BONHAM,TX,75418-5818,(903) 583-4464,(903) 583-7623,cindy.renshaw@wsdtx.org,www.wsdtx.org,CINDY RENSHAW   ,'UG,0,Active,1995-04-01,2015-03-14T05:35:28,16,USCGeocoder,94,1,4.01,,61afdc2a-2a92-4385-9f88-522d8e713525,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,33.591368,-96.233629,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903085,SEGOVIA UNIT,REGULAR INSTRUCTIONAL,,1201 E EL CIBOLO RD,EDINBURG,TX,78539-9999,1201 E EL CIBOLO RD,EDINBURG,TX,78539-9999,(956) 316-2400,(956) 318-3791,johanna.canales@wsdtx.org,www.wsdtx.org,MARIE LATORRE   ,'UG,0,Active,1995-03-01,2015-03-14T05:35:28,17,USCGeocoder,47,1,4.01,,be954c8e-9a4b-4401-8e35-5120948b6b3b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7486.72658595,LinearInterpolationAddressRange,StreetSegment,89.9408284024,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,26.4157306199,-98.1311437143,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903086,LE BLANC UNIT,REGULAR INSTRUCTIONAL,,3695 FM 3514,BEAUMONT,TX,77705-9999,3695 FM 3514,BEAUMONT,TX,77705-9999,(409) 724-1515,(409) 729-1162,superintendent@wsdtx.org,www.wsdtx.org,LANELLE HIGGINBOTHAM   ,'UG,0,Active,1995-05-01,2015-03-14T05:35:28,18,USCGeocoder,78,1,4.01,,486e82b0-2312-490a-a4d1-a8549cba69d9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11780.5527943,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.9922878771,-94.0424752037,Relaxed
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903087,KEGANS STATE JAIL,REGULAR INSTRUCTIONAL,,707 TOP ST,HOUSTON,TX,77002-1223,707 TOP ST,HOUSTON,TX,77002-1223,(713) 224-6584,(713) 229-8417,marisa.schneider@wsdtx.org,www.wsdtx.org,MARISA SCHNEIDER   ,'UG,0,Active,1995-08-01,2015-03-14T05:35:28,19,USCGeocoder,31,1,4.01,,62f05d41-58ba-44fe-9f99-657b5ea2432b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2248.88819001,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,29.7637342766,-95.3554035746,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903088,BATEN UNIT,REGULAR INSTRUCTIONAL,,1995 HILTON RD,PAMPA,TX,79065-9655,1995 HILTON RD,PAMPA,TX,79065-9655,(806) 665-7070,(806) 665-3219,superintendent@wsdtx.org,,    ,'UG,0,Active,1995-06-06,2015-03-14T05:35:28,20,USCGeocoder,63,1,4.01,,9a5eeda2-aa73-4c79-8b88-b01bc7e3be35,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,35.592413,-100.848061,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903089,DUNCAN UNIT,REGULAR INSTRUCTIONAL,,1502 S FIRST ST,DIBOLL,TX,75941-9698,1502 S FIRST ST,DIBOLL,TX,75941-9698,(936) 829-2616,(936) 829-3088,superintendent@wsdtx.org,www.wsdtx.org,    ,'UG,0,Active, ,2015-03-14T05:35:28,21,USCGeocoder,125,1,4.01,,ceed6a5e-3c0e-4704-9540-1b3023fc4443,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,13711.7861988,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.1731209531,-94.7946136623,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903090,COTULLA UNIT,REGULAR INSTRUCTIONAL,,610 FM 624,COTULLA,TX,78014-0100,610 FM 624,COTULLA,TX,78014-0100,(830) 879-3077,(830) 879-3077,marcus.daughtry@wsdtx.org,www.wsdtx.org,MARCUS DAUGHTRY   ,'UG,0,Active,1996-07-01,2015-03-14T05:35:28,22,USCGeocoder,63,1,4.01,,a3bfb78e-a3e5-49a4-93d0-6db774ebdf31,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,28.438327,-99.240051,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903091,FORT STOCKTON UNIT,REGULAR INSTRUCTIONAL,,1536 IH-10 E,FORT STOCKTON,TX,79735-9999,1536 IH-10 E,FORT STOCKTON,TX,79735-9999,(432) 336-7676,(432) 336-2777,pam.galvan@wsdtx.org,www.wsdtx.org,PAM GALVAN   ,'UG,0,Active,1996-07-01,2015-03-14T05:35:28,23,USCGeocoder,47,1,4.01,,b7b7b748-8d28-445e-9cac-326116d4fec5,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,30.899978,-102.863856,Exact
'236,WALKER COUNTY,'06,'236903,WINDHAM SCHOOL DISTRICT,INDEPENDENT,P O BOX 40,HUNTSVILLE,TX,77342-0040,804 BUILDING B FM 2821 W,HUNTSVILLE,TX,77320,(936) 291-5303,(936) 436-4031,superintendent@wsdtx.org,www.wsdtx.org,DR CLINT CARPENTER   ,0,'236903092,TULIA UNIT,REGULAR INSTRUCTIONAL,,4000 HWY 86 W,TULIA,TX,79088-9999,4000 HWY 86 W,TULIA,TX,79088-9999,(806) 995-4109,(806) 995-4193,roldan.trevino@wsdtx.org,www.wsdtx.org,ROLDAN TREVINO   ,'UG,0,Active,1996-07-01,2015-03-14T05:35:28,24,USCGeocoder,63,1,4.01,,a75423c5-b9b3-43ae-bb60-68090a42eeb4,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,34.531008,-101.813534,Exact
