CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_Manzhi_output_17_mw,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906101,WALL EL,REGULAR INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7522,(325) 651-9189,matt.fore@wallisd.net,,MR MATTHEW FORE   ,'EE-05,477,Active, ,2015-03-14T05:35:00,11,USCGeocoder,31,1,4.01,,1a4a7202-b3f1-496d-8718-2687150e0017,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.3724375,-100.3074809,Exact
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906180,WALL SPECIAL PROGRAMS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,CHERYL.MARSH@WALLISD.NET,,    ,'EE-12,0,Active,33054.0,2015-03-14T05:35:00,12,USCGeocoder,31,1,4.01,,5156b752-7488-4c18-9c5f-584964c05f35,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.350379,-100.189937,Exact
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906191,WALL PPCD,ALTERNATIVE INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259, , ,,,    ,'EE-PK,5,Active,34515.0,2015-03-14T05:35:00,13,USCGeocoder,31,1,4.01,,0cb7939b-fcc5-4749-9d3b-97cb0764f5f4,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.3728085,-100.308121,Exact
'226,TOM GREEN COUNTY,'15,'226907,GRAPE CREEK ISD,INDEPENDENT,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,(325) 658-7823,(325) 658-8719,teri.deweber@grapecreekisd.net,www.grapecreekisd.net,MRS BARBIE MCMATH   ,1108,'226907001,GRAPE CREEK H S,REGULAR INSTRUCTIONAL,,8207 US HWY 87 N,SAN ANGELO,TX,76901.0,8834 GRAPE CREEK RD,SAN ANGELO,TX,76901.0,(325) 653-1852 ext:5000,(325) 653-3568,teri.deweber@grapecreekisd.net,www.grapecreekisd.net/Domain/55,MR ROGER HENDERSON   ,'09-12,306,Active,33419.0,2015-03-14T05:35:00,14,USCGeocoder,16,1,4.01,,ade0c778-ca8b-46b9-ad90-48c25144a285,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,29481.1668184,LinearInterpolationAddressRange,StreetSegment,96.9230769231,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.6027569014,-100.563950663,Relaxed
'226,TOM GREEN COUNTY,'15,'226907,GRAPE CREEK ISD,INDEPENDENT,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,(325) 658-7823,(325) 658-8719,teri.deweber@grapecreekisd.net,www.grapecreekisd.net,MRS BARBIE MCMATH   ,1108,'226907002,FAIRVIEW ACCELERATED,ALTERNATIVE INSTRUCTIONAL,,2405 FAIRVIEW RD,SAN ANGELO,TX,76904.0,2405 FAIRVIEW RD,SAN ANGELO,TX,76904.0,(325) 651-7656,(325) 651-8504,kathy.henshaw@netxv.net,,MR BERT JOHNSON   ,'05-12,10,Active,33758.0,2015-03-14T05:35:00,15,USCGeocoder,47,1,4.01,,d346c502-0886-4ffa-b98f-f73f14592429,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.391188,-100.40149,Exact
'226,TOM GREEN COUNTY,'15,'226907,GRAPE CREEK ISD,INDEPENDENT,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,(325) 658-7823,(325) 658-8719,teri.deweber@grapecreekisd.net,www.grapecreekisd.net,MRS BARBIE MCMATH   ,1108,'226907005,FAIRVIEW DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76901.0,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,(325) 651-7656,(325) 651-8504,kathy.henshaw@netxv.net,,MR BERT JOHNSON   ,'KG-12,7,Active,35202.0,2015-03-14T05:35:00,16,USCGeocoder,16,1,4.01,,12c2e324-5112-4427-8489-25487ccd2d14,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11175.2363934,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3911550378,-100.400369551,Exact
'226,TOM GREEN COUNTY,'15,'226907,GRAPE CREEK ISD,INDEPENDENT,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,(325) 658-7823,(325) 658-8719,teri.deweber@grapecreekisd.net,www.grapecreekisd.net,MRS BARBIE MCMATH   ,1108,'226907041,GRAPE CREEK MIDDLE,REGULAR INSTRUCTIONAL,,8207 US HWY 87 N,SAN ANGELO,TX,76901.0,9633 GRAPE CREEK RD,SAN ANGELO,TX,76901.0,(325) 655-1735 ext:3000,(325) 657-2997,teri.deweber@grapecreekisd.net,www.grapecreekisd.net/Domain/117,MR BRAD BEHRENDT   ,'06-08,241,Active,26176.0,2015-03-14T05:35:00,17,USCGeocoder,78,1,4.01,,03552610-468f-44c0-917e-67d68876667b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3414.52936639,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.5800277554,-100.547424365,Relaxed
'226,TOM GREEN COUNTY,'15,'226907,GRAPE CREEK ISD,INDEPENDENT,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,(325) 658-7823,(325) 658-8719,teri.deweber@grapecreekisd.net,www.grapecreekisd.net,MRS BARBIE MCMATH   ,1108,'226907101,GRAPE CREEK INT,REGULAR INSTRUCTIONAL,,8207 US HWY 87 N,SAN ANGELO,TX,76901.0,8207 US HWY 87 N,SAN ANGELO,TX,76901.0,(325) 655-1735 ext:2000,(325) 658-2623,teri.deweber@grapecreekisd.net,www.grapecreekisd.net/Domain/159,MRS LEIGH ANN STEPHENS   ,'03-05,250,Active,26176.0,2015-03-14T05:35:00,18,USCGeocoder,31,1,4.01,,b79e3e41-febb-4552-bc27-0675b71df9c7,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5213.76686235,LinearInterpolationAddressRange,StreetSegment,98.3431952663,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.5590861086,-100.54683864,Relaxed
'226,TOM GREEN COUNTY,'15,'226907,GRAPE CREEK ISD,INDEPENDENT,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,(325) 658-7823,(325) 658-8719,teri.deweber@grapecreekisd.net,www.grapecreekisd.net,MRS BARBIE MCMATH   ,1108,'226907104,GRAPE CREEK PRI,REGULAR INSTRUCTIONAL,,8207 U S HWY 87 N,SAN ANGELO,TX,76901.0,9633 GRAPE CREEK RD,SAN ANGELO,TX,76901.0,(325) 655-1735 ext:2000,(325) 658-2623,admin@grapecreekisd.net,www.grapecreekisd.net/Domain/159,MS ANGIE SMETANA   ,'EE-02,294,Active,39582.0,2015-03-14T05:35:00,19,USCGeocoder,16,1,4.01,,330c059b-4ff1-4012-8671-881cf5f83450,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3414.52936639,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.5800277554,-100.547424365,Relaxed
'226,TOM GREEN COUNTY,'15,'226908,VERIBEST ISD,INDEPENDENT,P O BOX 490,VERIBEST,TX,76886-0475,10062 F M HWY 380,VERIBEST,TX,76886.0,(325) 655-4912,(325) 655-3355,BOBBY.FRYAR@VERIBESTISD.NET,veribest.netxv.net,MR BOBBY FRYAR   ,282,'226908001,VERIBEST H S,REGULAR INSTRUCTIONAL,,P O BOX 490,VERIBEST,TX,76886-0490,10062 F M HWY 380,VERIBEST,TX,76886.0,(325) 655-2851,(325) 653-0551,Ken.Newman@veribestisd.net,veribest.netxv.net,MR JIM MEREDITH   ,'07-12,-1,Active,26176.0,2015-03-14T05:35:00,20,USCGeocoder,47,1,4.01,,d7586031-7896-4141-9c15-05385fceb2de,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.469928,-100.33604,Exact
'226,TOM GREEN COUNTY,'15,'226908,VERIBEST ISD,INDEPENDENT,P O BOX 490,VERIBEST,TX,76886-0475,10062 F M HWY 380,VERIBEST,TX,76886.0,(325) 655-4912,(325) 655-3355,BOBBY.FRYAR@VERIBESTISD.NET,veribest.netxv.net,MR BOBBY FRYAR   ,282,'226908002,FAIRVIEW ACCELERATED,ALTERNATIVE INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904-9664,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904-9664,(325) 651-7656, ,,,MR BERT JOHNSON   ,'07-12,-1,Active,33054.0,2015-03-14T05:35:00,21,USCGeocoder,16,1,4.01,,9c2bd752-2a13-4935-bbe3-31ff7180e44c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11175.2363934,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3911550378,-100.400369551,Exact
'226,TOM GREEN COUNTY,'15,'226908,VERIBEST ISD,INDEPENDENT,P O BOX 490,VERIBEST,TX,76886-0475,10062 F M HWY 380,VERIBEST,TX,76886.0,(325) 655-4912,(325) 655-3355,BOBBY.FRYAR@VERIBESTISD.NET,veribest.netxv.net,MR BOBBY FRYAR   ,282,'226908005,VERIBEST DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,(325) 651-7656, ,bert.johnson@netxv.net,,BERT JOHNSON   ,'06-12,0,Active,36166.0,2015-03-14T05:35:00,22,USCGeocoder,16,1,4.01,,4592f800-c71d-418a-b5da-bc8f82384fb3,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11175.2363934,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3911550378,-100.400369551,Exact
'226,TOM GREEN COUNTY,'15,'226908,VERIBEST ISD,INDEPENDENT,P O BOX 490,VERIBEST,TX,76886-0475,10062 F M HWY 380,VERIBEST,TX,76886.0,(325) 655-4912,(325) 655-3355,BOBBY.FRYAR@VERIBESTISD.NET,veribest.netxv.net,MR BOBBY FRYAR   ,282,'226908101,VERIBEST EL,REGULAR INSTRUCTIONAL,,P O BOX 490,VERIBEST,TX,76886.0,10062 F M HWY 380,VERIBEST,TX,76886.0,(325) 655-2851,(325) 653-0551,wes.brown@veribestisd.net,veribestisd.net,MR ERNIE REYNOLDS   ,'EE-06,142,Active,26176.0,2015-03-14T05:35:00,23,USCGeocoder,94,1,4.01,,6ef96078-f855-426a-936e-df9e8396886a,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.469928,-100.33604,Exact
'227,TRAVIS COUNTY,'13,'227506,UNIVERSITY OF TEXAS AT AUSTIN H S,INDEPENDENT,P O BOX 7700,AUSTIN,TX,78713-7700,2901 N IH 35,AUSTIN,TX,78722.0,(512) 471-1838,(512) 471-7853,harrison.keller@austin.utexas.edu,www.utexas.edu/ce/k16,DR HARRISON KELLER   ,0,'227506001,UNIVERSITY OF TEXAS AT AUSTIN H S,REGULAR INSTRUCTIONAL,,P O BOX 7700,AUSTIN,TX,78713-7700,2901 N IH-35,AUSTIN,TX,78722.0,(512) 471-4808,(512) 475-7933,uths@utk16.org,www.utexas.edu/ce/k16/ut-high-school/overview/,DR LORNA J HARRISON   ,'09-12,0,Active,35104.0,2015-03-14T05:35:00,24,USCGeocoder,47,1,4.01,,d65cb0f5-bcd7-4043-b188-48ed095f512f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,30.2849185,-97.7340567,Exact
